date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى السودان,امشي الى تشاد,امشي الى الكاميرون,امشي الى جمهورية أفريقيا الوسطى,امشي الى إثيوبيا,امشي الى جيبوتي
2021-12-01,EG,travel,35,0,0,53,6,0.0,192.0,0.0,0.0,210.0,360.0,0.0,0.0,252.0,0.0,120.0,0.0,360.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,EG,travel,87,0,0,78,16,0.0,496.0,0.0,0.0,528.0,1088.0,0.0,0.0,720.0,0.0,304.0,0.0,528.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,EG,travel,37,0,0,65,13,0.0,494.0,0.0,0.0,403.0,806.0,0.0,0.0,793.0,0.0,299.0,0.0,728.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,EG,travel,53,0,0,51,10,10.0,400.0,0.0,0.0,320.0,620.0,0.0,0.0,550.0,0.0,230.0,0.0,670.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,EG,travel,34,0,0,62,13,0.0,416.0,0.0,0.0,273.0,1300.0,0.0,0.0,468.0,0.0,247.0,0.0,650.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,EG,travel,34,0,0,38,9,0.0,342.0,0.0,0.0,297.0,594.0,0.0,0.0,756.0,0.0,189.0,0.0,513.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,EG,travel,41,0,0,36,0,0.0,40.0,0.0,0.0,33.0,68.0,0.0,0.0,65.0,0.0,22.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,EG,travel,23,0,0,37,15,15.0,735.0,15.0,0.0,510.0,1110.0,0.0,0.0,1500.0,0.0,360.0,0.0,397.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,EG,travel,36,0,0,48,12,0.0,516.0,0.0,0.0,432.0,756.0,0.0,0.0,912.0,0.0,276.0,0.0,612.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,EG,travel,38,0,0,76,16,0.0,688.0,0.0,0.0,496.0,1136.0,0.0,0.0,1024.0,0.0,352.0,0.0,472.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,EG,travel,35,0,0,43,18,0.0,720.0,0.0,0.0,576.0,1116.0,0.0,0.0,1044.0,0.0,396.0,0.0,504.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,EG,travel,24,0,0,46,5,0.0,185.0,5.0,0.0,150.0,305.0,0.0,0.0,245.0,0.0,95.0,0.0,275.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,EG,travel,34,0,0,29,0,0.0,39.0,0.0,0.0,26.0,63.0,0.0,0.0,59.0,0.0,18.0,0.0,74.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,EG,travel,34,0,0,36,4,0.0,156.0,0.0,0.0,116.0,260.0,0.0,0.0,288.0,0.0,72.0,0.0,204.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,EG,travel,39,0,0,65,8,8.0,304.0,0.0,0.0,208.0,496.0,0.0,0.0,496.0,0.0,136.0,0.0,432.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,EG,travel,24,0,0,45,9,0.0,351.0,0.0,0.0,216.0,747.0,0.0,0.0,432.0,0.0,153.0,0.0,423.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
