date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا
2022-04-01,SY,travel,13,0,0,13,0,2.0,35.0,2.0,0.0,8.666666666666666,66.66666666666666,0.0,0.0,8.0,0.0,14.666666666666666,0.0,26.5,9.5,0.0,0.0,0.0,0.0,0.0
2022-05-01,SY,travel,11,0,0,11,0,0.0,26.0,5.0,0.0,35.833333333333336,47.5,0.0,0.0,11.071428571428571,0.0,15.714285714285715,0.0,28.125,8.125,0.0,0.0,0.0,0.0,0.0
2022-06-01,SY,travel,0,0,0,5,0,0.0,49.0,5.0,0.0,22.142857142857142,50.714285714285715,0.0,0.0,15.0,0.0,21.666666666666664,0.0,17.77777777777778,11.666666666666668,0.0,0.0,0.0,0.0,0.0
2022-07-01,SY,travel,5,0,0,22,0,0.0,31.0,4.0,0.0,32.800000000000004,49.6,0.0,0.0,10.666666666666666,0.0,17.333333333333332,0.0,23.428571428571427,10.857142857142856,0.0,0.0,0.0,0.0,0.0
2022-08-01,SY,travel,0,0,0,11,0,4.0,37.0,4.0,0.0,28.8,44.0,0.0,0.0,12.727272727272728,0.0,18.181818181818183,0.0,30.857142857142854,4.571428571428571,0.0,0.0,0.0,0.0,0.0
2022-09-01,SY,travel,11,0,0,100,0,9.0,45.0,8.0,0.0,26.400000000000002,48.800000000000004,0.0,0.0,9.818181818181818,0.0,17.454545454545453,0.0,25.142857142857142,12.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,SY,travel,0,0,0,30,0,7.0,58.0,6.0,0.0,30.0,44.57142857142857,0.0,0.0,12.0,0.0,24.75,0.0,31.2,11.4,0.0,0.0,0.0,0.0,0.0
2022-11-01,SY,travel,0,0,0,10,0,3.0,35.0,2.0,0.0,18.0,29.333333333333332,0.0,0.0,17.666666666666664,0.0,16.0,0.0,21.0,8.5,0.0,0.0,0.0,0.0,0.0
2022-12-01,SY,travel,7,0,0,25,0,0.0,62.0,2.0,0.0,15.333333333333332,39.33333333333333,0.0,0.0,12.285714285714285,0.0,12.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,SY,travel,5,0,0,23,0,5.0,52.0,2.0,0.0,20.0,42.666666666666664,0.0,0.0,10.666666666666666,0.0,13.333333333333332,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,SY,travel,18,0,0,12,0,5.0,36.0,0.0,0.0,28.0,69.0,0.0,0.0,31.0,0.0,39.0,0.0,52.0,27.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,SY,travel,6,0,0,20,0,0.0,35.0,3.0,0.0,14.25,60.75,0.0,0.0,11.625,0.0,15.75,0.0,22.8,11.4,0.0,0.0,0.0,0.0,0.0
2023-04-01,SY,travel,7,0,0,13,0,0.0,29.0,7.0,0.0,20.125,74.375,0.0,0.0,8.555555555555555,0.0,20.22222222222222,0.0,32.45454545454545,5.090909090909091,0.0,0.0,0.0,0.0,0.0
2023-05-01,SY,travel,4,0,0,20,0,1.0,32.0,2.0,0.0,22.0,44.666666666666664,0.0,0.0,13.333333333333332,0.0,17.333333333333332,0.0,19.5,9.0,0.0,0.0,0.0,0.0,0.0
