date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى السودان,امشي الى تشاد
2021-03-01,LY,travel,21,0,0,32,0,0.0,48.0,11.0,0.0,53.625,75.625,0.0,0.0,31.0,0.0,22.0,0.0,81.8888888888889,18.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,LY,travel,0,0,0,58,0,0.0,33.0,9.0,0.0,33.42857142857143,104.14285714285715,0.0,0.0,26.0,0.0,55.0,0.0,79.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,LY,travel,22,0,0,64,0,7.0,36.0,0.0,0.0,26.0,69.0,0.0,0.0,21.0,0.0,39.0,0.0,53.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,LY,travel,0,0,0,92,0,0.0,49.0,12.0,0.0,80.0,56.0,0.0,0.0,32.0,0.0,52.0,0.0,86.39999999999999,37.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,LY,travel,35,0,0,32,0,0.0,60.0,9.0,0.0,41.142857142857146,37.28571428571429,0.0,0.0,48.0,0.0,34.0,0.0,46.125,10.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,LY,travel,63,0,0,38,0,0.0,47.0,9.0,0.0,76.5,94.5,0.0,0.0,33.0,0.0,45.0,0.0,60.42857142857143,21.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,LY,travel,0,0,0,28,0,0.0,41.0,11.0,0.0,42.625,66.0,0.0,0.0,28.0,0.0,48.0,0.0,78.22222222222223,25.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,LY,travel,0,0,0,14,0,0.0,28.0,11.0,0.0,57.75,67.375,0.0,0.0,24.0,0.0,57.0,0.0,52.55555555555556,13.444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,LY,travel,17,0,0,0,0,0.0,33.0,8.0,0.0,56.0,56.0,0.0,0.0,32.0,0.0,39.0,0.0,32.0,9.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,LY,travel,0,0,0,24,0,0.0,43.0,13.0,0.0,62.11111111111111,80.88888888888889,0.0,0.0,25.0,0.0,41.0,0.0,41.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,LY,travel,0,0,0,33,0,12.0,34.0,14.0,0.0,39.199999999999996,64.39999999999999,0.0,0.0,34.0,0.0,56.0,0.0,78.9090909090909,11.454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,LY,travel,40,0,0,14,0,7.0,33.0,13.0,0.0,31.200000000000003,80.60000000000001,0.0,0.0,38.0,0.0,38.0,0.0,52.0,22.454545454545457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
