date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد
2022-07-01,LY,travel,0,0,0,52,0,0,0,54,43,0,31,46,61,0,0,43,86,0,51,0,35,54,23,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,LY,travel,12,0,0,30,0,0,0,45,19,0,14,37,65,0,0,19,54,0,47,0,16,42,19,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,LY,travel,0,0,0,0,0,0,4,45,8,0,6,48,61,0,0,8,52,0,50,0,6,40,18,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,LY,travel,0,0,0,37,0,0,5,32,17,0,12,42,58,0,0,17,31,0,43,0,14,59,14,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,LY,travel,19,0,0,63,0,0,15,36,11,0,8,31,74,0,0,11,67,0,42,0,9,49,13,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,LY,travel,0,0,0,34,0,0,0,30,29,0,21,28,54,0,0,29,64,0,36,0,24,55,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,LY,travel,0,0,0,67,0,0,0,47,16,0,12,32,69,0,0,16,42,0,57,0,13,49,20,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,LY,travel,0,0,0,25,0,0,5,31,13,0,10,35,65,0,0,13,34,0,57,0,11,38,17,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,LY,travel,0,0,0,32,0,0,0,40,15,0,11,38,73,0,0,15,57,0,46,0,12,45,12,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,LY,travel,25,0,0,14,0,0,7,39,6,0,5,40,100,0,0,6,41,0,27,0,5,39,16,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,LY,travel,0,0,0,55,0,0,0,46,25,0,18,44,67,0,0,25,57,0,47,0,20,59,13,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
