date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى السودان,امشي الى تشاد,امشي الى الكاميرون,امشي الى جمهورية أفريقيا الوسطى,امشي الى إثيوبيا,امشي الى جيبوتي,امشي الى إريتريا,امشي الى صوماليلاند,امشي الى جنوب السودان
2020-10-01,SD,travel,8,0,0,0,0,0.0,57.0,16.0,0.0,77.0909090909091,75.63636363636364,0.0,0.0,32.0,0.0,64.0,0.0,73.6,11.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,SD,travel,0,0,0,9,0,0.0,33.0,24.0,0.0,57.0,60.0,0.0,0.0,36.0,0.0,72.0,0.0,107.99999999999999,18.545454545454543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,SD,travel,0,0,0,15,0,0.0,33.0,8.0,0.0,56.0,52.0,0.0,0.0,16.0,0.0,64.0,0.0,66.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,SD,travel,17,0,0,8,0,7.0,33.0,9.0,0.0,48.0,54.0,0.0,0.0,27.0,0.0,45.0,0.0,91.125,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,SD,travel,9,0,0,0,0,0.0,30.0,15.0,0.0,60.0,55.5,0.0,0.0,15.0,0.0,45.0,0.0,105.0,38.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,SD,travel,0,0,0,26,0,0.0,54.0,6.0,0.0,76.5,64.5,0.0,0.0,36.0,0.0,48.0,0.0,87.6,10.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,SD,travel,20,0,0,22,0,5.0,60.0,0.0,0.0,39.0,45.0,0.0,0.0,2.0,0.0,7.0,0.0,77.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,SD,travel,0,0,0,0,0,0.0,17.0,0.0,0.0,34.0,62.0,0.0,0.0,4.0,0.0,8.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,SD,travel,0,0,0,16,0,7.0,39.0,12.0,0.0,57.0,45.0,0.0,0.0,60.0,0.0,108.0,0.0,72.0,18.545454545454543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,SD,travel,0,0,0,15,0,0.0,32.0,0.0,0.0,42.0,37.0,0.0,0.0,1.0,0.0,4.0,0.0,63.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,SD,travel,0,0,0,26,0,5.0,38.0,15.0,0.0,55.5,43.5,0.0,0.0,37.5,0.0,37.5,0.0,83.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,SD,travel,14,0,0,15,0,0.0,41.0,18.0,0.0,57.0,42.0,0.0,0.0,45.0,0.0,45.0,0.0,76.23529411764706,16.941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,SD,travel,0,0,0,15,0,11.0,37.0,11.0,0.0,62.857142857142854,66.0,0.0,0.0,22.0,0.0,77.0,0.0,80.30000000000001,42.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,SD,travel,0,0,0,0,0,0.0,0.0,30.0,0.0,91.5,19.5,0.0,0.0,30.0,0.0,90.0,0.0,49.285714285714285,13.928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,SD,travel,9,0,0,15,0,0.0,34.0,11.0,0.0,61.285714285714285,7.857142857142857,0.0,0.0,11.0,0.0,66.0,0.0,74.80000000000001,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,SD,travel,10,0,0,24,0,5.0,23.0,14.0,0.0,47.599999999999994,50.4,0.0,0.0,42.0,0.0,70.0,0.0,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,SD,travel,21,0,0,15,0,8.0,52.0,0.0,0.0,48.0,50.0,0.0,0.0,5.0,0.0,8.0,0.0,74.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,SD,travel,8,0,0,0,0,4.0,53.0,13.0,0.0,54.888888888888886,57.77777777777778,0.0,0.0,78.0,0.0,78.0,0.0,73.66666666666666,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,SD,travel,36,0,0,20,0,13.0,46.0,13.0,0.0,56.333333333333336,106.88888888888889,0.0,0.0,65.0,0.0,78.0,0.0,57.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,SD,travel,0,0,0,12,0,6.0,47.0,0.0,0.0,39.0,58.0,0.0,0.0,6.0,0.0,7.0,0.0,65.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,SD,travel,0,0,0,17,0,9.0,53.0,11.0,0.0,80.14285714285714,47.14285714285714,0.0,0.0,66.0,0.0,99.0,0.0,62.7,13.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,SD,travel,0,0,0,0,0,0.0,63.0,12.0,0.0,81.0,58.5,0.0,0.0,72.0,0.0,108.0,0.0,54.54545454545454,6.545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,SD,travel,0,0,0,12,0,0.0,58.0,5.0,0.0,51.25,55.0,0.0,0.0,45.0,0.0,35.0,0.0,80.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,SD,travel,7,0,0,28,0,4.0,42.0,6.0,0.0,69.0,99.0,0.0,0.0,36.0,0.0,30.0,0.0,57.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,SD,travel,0,0,0,46,0,10.0,65.0,23.0,0.0,61.333333333333336,72.06666666666668,0.0,0.0,69.0,0.0,92.0,0.0,104.04761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
