date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قطار سريع1,قافلة,محطة,حافلة,أمتعة السفر,قطار سريع2,الفندق,نزل,شقة مستأجرة,حركة السير,قطار سريع3,تذكرة,فندق صغير,القيادة,أجرة الطيران,قطار سريع4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد,امشي الى الكاميرون,امشي الى جمهورية أفريقيا الوسطى,امشي الى الأردن11,امشي الى إثيوبيا,امشي الى جيبوتي
2022-04-01,EG,travel,34,0,0,62,13,0,0,32,0,0,1,21,100,0,0,0,36,0,19,0,1,50,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,EG,travel,34,0,0,38,9,0,0,38,0,0,1,33,66,0,0,0,84,0,21,0,1,57,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,EG,travel,41,0,0,36,0,0,0,40,0,0,0,33,68,0,0,0,65,0,22,0,0,58,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,EG,travel,23,0,0,37,15,0,1,49,1,0,1,34,74,0,0,1,100,0,24,0,2,53,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,EG,travel,36,0,0,48,12,0,0,43,0,0,1,36,63,0,0,0,76,0,23,0,1,51,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,EG,travel,38,0,0,76,16,0,0,43,0,0,1,31,71,0,0,1,64,0,22,0,2,59,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,EG,travel,35,0,0,43,18,0,0,40,0,0,1,32,62,0,0,1,58,0,22,0,2,56,4,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,EG,travel,24,0,0,46,5,0,0,37,1,0,0,30,61,0,0,0,49,0,19,0,1,55,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,EG,travel,34,0,0,29,0,0,0,39,0,0,0,26,63,0,0,0,59,0,18,0,0,74,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,EG,travel,34,0,0,36,4,0,0,39,0,0,0,29,65,0,0,0,72,0,18,0,0,51,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,EG,travel,39,0,0,65,8,0,1,38,0,0,1,26,62,0,0,0,62,0,17,0,1,54,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,EG,travel,24,0,0,45,9,0,0,39,0,0,1,24,83,0,0,0,48,0,17,0,1,47,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,EG,travel,28,0,0,52,9,0,0,37,1,0,1,27,96,0,0,0,66,0,16,0,1,45,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,EG,travel,20,0,0,31,8,0,0,40,0,0,1,32,73,0,0,0,72,0,19,0,1,54,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
