date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن
2021-11-01,OM,travel,22,0,0,39,0,0.0,21.0,3.0,0.0,6.8999999999999995,20.4,0.0,0.0,13.172727272727272,0.0,14.740909090909089,0.0,15.18,3.6799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,OM,travel,0,0,0,55,0,0.0,20.0,4.0,0.0,9.600000000000001,28.400000000000002,0.0,0.0,23.56363636363637,0.0,14.83636363636364,0.0,28.18064516129033,4.645161290322582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,OM,travel,24,0,0,25,0,2.0,16.0,0.0,0.0,17.0,62.0,0.0,0.0,38.25,0.0,38.25,0.0,24.285714285714285,12.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,OM,travel,0,0,0,31,0,0.0,21.0,1.0,0.0,4.75,12.25,0.0,0.0,14.25,0.0,12.666666666666668,0.0,7.520833333333333,4.354166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,OM,travel,0,0,0,69,0,0.0,22.0,2.0,0.0,7.666666666666666,13.666666666666666,0.0,0.0,12.893939393939393,0.0,17.77272727272727,0.0,15.844444444444443,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,OM,travel,0,0,0,100,0,2.0,20.0,0.0,0.0,19.0,100.0,0.0,0.0,42.22222222222222,0.0,36.94444444444444,0.0,50.666666666666664,18.208333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,OM,travel,7,0,0,13,0,2.0,18.0,0.0,0.0,16.0,51.0,0.0,0.0,90.66666666666667,0.0,36.266666666666666,0.0,38.095238095238095,25.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,OM,travel,27,0,0,40,0,4.0,18.0,1.0,0.0,6.333333333333333,19.666666666666664,0.0,0.0,32.01851851851852,0.0,16.537037037037038,0.0,10.893333333333333,6.079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,OM,travel,0,0,0,60,0,0.0,32.0,0.0,0.0,4.0,33.0,0.0,0.0,100.0,0.0,41.0,0.0,37.33333333333333,14.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,OM,travel,0,0,0,45,0,0.0,32.0,3.0,0.0,12.75,21.375,0.0,0.0,27.09375,0.0,13.546875,0.0,15.357954545454547,9.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,OM,travel,0,0,0,42,0,0.0,26.0,1.0,0.0,4.333333333333333,14.0,0.0,0.0,16.61111111111111,0.0,13.722222222222221,0.0,12.235294117647058,7.3921568627450975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,OM,travel,22,0,0,31,0,0.0,16.0,1.0,0.0,3.0,22.0,0.0,0.0,15.0,0.0,18.375,0.0,25.09090909090909,6.545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,OM,travel,0,0,0,49,0,0.0,25.0,2.0,0.0,6.4,19.6,0.0,0.0,26.026666666666667,0.0,15.360000000000001,0.0,16.761904761904763,7.923809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,OM,travel,0,0,0,45,0,0.0,20.0,1.0,0.0,7.0,28.0,0.0,0.0,43.61538461538461,0.0,16.69230769230769,0.0,19.444444444444446,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,OM,travel,12,0,0,14,0,1.0,25.0,0.0,0.0,13.0,54.0,0.0,0.0,57.416666666666664,0.0,44.416666666666664,0.0,51.1875,12.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,OM,travel,0,0,0,37,0,0.0,20.0,3.0,0.0,3.9,19.2,0.0,0.0,18.525000000000002,0.0,13.65,0.0,9.635294117647058,4.817647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,OM,travel,0,0,0,54,0,0.0,22.0,0.0,0.0,14.0,71.0,0.0,0.0,42.0,0.0,39.84615384615385,0.0,49.0,13.222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,OM,travel,8,0,0,59,0,0.0,17.0,1.0,0.0,0.0,27.333333333333332,0.0,0.0,46.0,0.0,26.0,0.0,66.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,OM,travel,0,0,0,37,0,3.0,22.0,0.0,0.0,10.0,60.0,0.0,0.0,81.11111111111111,0.0,43.333333333333336,0.0,39.23076923076923,13.846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
