date,location,search_count
2023-02-14,central darfur,0.0
2023-02-15,central darfur,0.0
2023-02-16,central darfur,0.0
2023-02-17,central darfur,0.0
2023-02-18,central darfur,0.0
2023-02-19,central darfur,0.0
2023-02-20,central darfur,0.0
2023-02-21,central darfur,0.0
2023-02-22,central darfur,0.0
2023-02-23,central darfur,0.0
2023-02-24,central darfur,0.0
2023-02-25,central darfur,0.0
2023-02-26,central darfur,0.0
2023-02-27,central darfur,0.0
2023-02-28,central darfur,0.0
2023-03-01,central darfur,0.0
2023-03-02,central darfur,0.0
2023-03-03,central darfur,0.0
2023-03-04,central darfur,0.0
2023-03-05,central darfur,0.0
2023-03-06,central darfur,0.0
2023-03-07,central darfur,0.0
2023-03-08,central darfur,0.0
2023-03-09,central darfur,0.0
2023-03-10,central darfur,0.0
2023-03-11,central darfur,0.0
2023-03-12,central darfur,0.0
2023-03-13,central darfur,0.0
2023-03-14,central darfur,0.0
2023-03-15,central darfur,0.0
2023-03-16,central darfur,0.0
2023-03-17,central darfur,0.0
2023-03-18,central darfur,0.0
2023-03-19,central darfur,0.0
2023-03-20,central darfur,0.0
2023-03-21,central darfur,0.0
2023-03-22,central darfur,0.0
2023-03-23,central darfur,0.0
2023-03-24,central darfur,0.0
2023-03-25,central darfur,0.0
2023-03-26,central darfur,0.0
2023-03-27,central darfur,0.0
2023-03-28,central darfur,0.0
2023-03-29,central darfur,0.0
2023-03-30,central darfur,0.0
2023-03-31,central darfur,0.0
2023-04-01,central darfur,0.0
2023-04-02,central darfur,0.0
2023-04-03,central darfur,0.0
2023-04-04,central darfur,0.0
2023-04-05,central darfur,0.0
2023-04-06,central darfur,0.0
2023-04-07,central darfur,0.0
2023-04-08,central darfur,0.0
2023-04-09,central darfur,0.0
2023-04-10,central darfur,0.0
2023-04-11,central darfur,0.0
2023-04-12,central darfur,0.0
2023-04-13,central darfur,0.0
2023-04-14,central darfur,0.0
2023-04-15,central darfur,0.0
2023-04-16,central darfur,0.0
2023-04-17,central darfur,0.0
2023-04-18,central darfur,0.0
2023-04-19,central darfur,0.0
2023-04-20,central darfur,0.0
2023-04-21,central darfur,0.0
2023-04-22,central darfur,0.0
2023-04-23,central darfur,0.0
2023-04-24,central darfur,0.0
2023-04-25,central darfur,0.0
2023-04-26,central darfur,0.0
2023-04-27,central darfur,0.0
2023-04-28,central darfur,0.0
2023-04-29,central darfur,0.0
2023-04-30,central darfur,0.0
2023-05-01,central darfur,0.0
2023-05-02,central darfur,0.0
2023-05-03,central darfur,0.0
2023-05-04,central darfur,0.0
2023-05-05,central darfur,0.0
2023-05-06,central darfur,0.0
2023-05-07,central darfur,0.0
2023-05-08,central darfur,0.0
2023-05-09,central darfur,0.0
2023-05-10,central darfur,0.0
2023-05-11,central darfur,0.0
2023-05-12,central darfur,0.0
2023-05-13,central darfur,0.0
2023-05-14,central darfur,0.0
2023-05-15,central darfur,0.0
2023-05-16,central darfur,0.0
2023-05-17,central darfur,0.0
2023-05-18,central darfur,0.0
2023-05-19,central darfur,0.0
2023-05-20,central darfur,0.0
2023-05-21,central darfur,0.0
2023-05-22,central darfur,0.0
2023-05-23,central darfur,0.0
2023-05-24,central darfur,0.0
2023-05-25,central darfur,0.0
2023-05-26,central darfur,0.0
2023-05-27,central darfur,0.0
2023-05-28,central darfur,0.0
2023-05-29,central darfur,0.0
2023-05-30,central darfur,0.0
2023-05-31,central darfur,0.0
2023-06-01,central darfur,0.0
2023-06-02,central darfur,0.0
2023-06-03,central darfur,0.0
2023-06-04,central darfur,0.0
2023-06-05,central darfur,0.0
2023-06-06,central darfur,0.0
2023-06-07,central darfur,0.0
2023-06-08,central darfur,0.0
2023-06-09,central darfur,0.0
2023-06-10,central darfur,0.0
2023-06-11,central darfur,0.0
2023-06-12,central darfur,0.0
2023-06-13,central darfur,0.0
2023-06-14,central darfur,0.0
2023-06-15,central darfur,0.0
2023-06-16,central darfur,0.0
2023-06-17,central darfur,0.0
2023-06-18,central darfur,0.0
2023-06-19,central darfur,0.0
2023-06-20,central darfur,0.0
2023-06-21,central darfur,0.0
2023-06-22,central darfur,0.0
2023-06-23,central darfur,0.0
2023-06-24,central darfur,0.0
2023-06-25,central darfur,0.0
2023-06-26,central darfur,0.0
2023-06-27,central darfur,0.0
2023-06-28,central darfur,0.0
2023-06-29,central darfur,0.0
2023-06-30,central darfur,0.0
2023-07-01,central darfur,0.0
2023-07-02,central darfur,0.0
2023-07-03,central darfur,0.0
2023-07-04,central darfur,0.0
2023-07-05,central darfur,0.0
2023-07-06,central darfur,0.0
2023-07-07,central darfur,0.0
2023-07-08,central darfur,0.0
2023-07-09,central darfur,0.0
2023-07-10,central darfur,0.0
2023-07-11,central darfur,0.0
2023-07-12,central darfur,0.0
2023-07-13,central darfur,0.0
2023-07-14,central darfur,0.0
2023-07-15,central darfur,0.0
2023-07-16,central darfur,0.0
2023-07-17,central darfur,0.0
2023-07-18,central darfur,0.0
2023-07-19,central darfur,0.0
2023-07-20,central darfur,40.0
