date,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,امشي الى1,قطار سريع,قافلة,محطة,حافلة,حافلة2,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حافلة3,حركة السير,تذكرة,فندق صغير,القيادة,حافلة4,أجرة الطيران,الطرق,شاحنة,عمل,الطرق5,شغل,رخصة الشغل,رخصة العمل,عملة,شغل6,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,الصليب الاحمر7,إسعاف,مساعدة إجتماعية,ملجأ,قدم طلبا,الصليب الاحمر8,تقديم طلب,دفع,جواز السفر,وثائق,وثائق9,قنصلية,سفارة,حماية,أين الراحة,وثائق10,اين الملجأ,إيجاد مأوى,يجب أن أغادر,يجب المغادرةالسكن,اين الملجأ11,منازل في العراق,مكان للإقامة,مكان السكن,الطريق إلى,اين الملجأ12,منطقة آمنة,حدود,اجتياز,فتح معبر حدودي,اجتياز13,أقرب معبر حدودي,معبر حدودي آمن,الانتقال إلى العراق,الهروب من العراق,أقرب معبر حدودي14,يف الهروب من العراق,مكان آمن,لاجئ,حق اللجوء السياسي,أقرب معبر حدودي15,اسعاف,مغادرة العراق,الطريق الآمن,طريق آمن,أقرب معبر حدودي16,ممر آمن,مخرج,ساعدني في الخروج,كيف تغادر غدا
2022-06-01,0,29,0,0,68,0,0,3,56,0,0,0,12,20,0,0,0,51,0,37,0,0,3,1,43,46,41,0,0,90,93,56,12,4,8,20,3,0,13,0,8,13,65,30,8,11,12,28,77,0,37,0,0,0,0,0,36,0,0,26,0,0,39,0,0,0,0,0,0,0,0,0,0,29,0,0,56,0,0,0,0,0,46,0,0
2022-07-01,0,0,0,0,65,0,0,5,55,7,1,0,10,23,0,8,0,51,0,31,0,0,2,1,40,39,42,0,0,97,94,46,9,0,2,15,0,0,12,0,6,9,69,27,9,12,8,32,46,0,42,0,0,0,0,0,24,0,0,44,0,0,43,0,0,0,0,0,0,0,0,0,0,19,0,0,51,0,0,0,0,0,56,0,0
2022-08-01,0,16,0,0,52,0,0,4,46,9,2,0,8,24,0,11,0,44,0,31,0,0,3,1,42,42,37,0,0,92,82,33,0,4,7,0,0,0,3,0,0,8,68,24,9,12,13,29,49,0,40,0,0,0,0,0,0,0,0,27,0,0,58,0,0,15,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,35,0,0
2022-09-01,0,11,0,0,47,0,0,6,40,5,1,0,7,21,0,6,0,42,0,28,0,0,3,1,40,53,37,0,0,84,82,48,2,0,2,3,5,0,10,0,1,6,55,22,7,9,11,29,56,0,32,0,0,0,0,0,18,0,0,68,0,0,72,0,0,0,0,0,0,0,0,0,0,15,0,0,54,0,0,0,0,0,32,0,0
2022-10-01,0,13,0,0,59,0,0,3,36,5,1,0,9,17,0,6,0,30,0,32,0,0,3,1,39,42,38,0,0,72,86,41,2,3,0,4,3,0,12,0,2,5,50,16,4,6,6,26,55,0,19,0,0,0,0,0,0,0,0,46,0,0,71,2,0,65,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,41,0,0
2022-11-01,0,13,0,0,36,0,0,0,30,2,0,0,8,15,0,3,0,71,0,35,0,0,2,0,36,33,33,0,0,71,74,41,4,2,0,7,4,0,12,0,3,9,49,11,3,4,5,19,56,0,15,0,0,0,0,0,0,0,0,76,0,0,40,1,0,24,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,42,0,0
2022-12-01,0,0,0,0,64,0,0,0,33,4,1,0,8,18,0,5,0,100,0,31,0,0,2,1,37,31,29,0,0,81,66,36,0,3,6,0,9,0,6,0,0,12,47,15,4,6,6,19,49,0,20,0,0,0,0,0,0,0,0,45,0,0,43,1,0,21,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,41,0,0
2023-01-01,0,24,0,0,43,0,0,0,35,4,1,0,8,18,0,5,0,75,0,25,0,0,2,0,32,32,28,0,0,77,64,36,8,3,4,14,4,0,11,0,5,13,57,22,3,4,6,22,50,0,13,0,0,0,0,0,13,0,0,75,0,0,56,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,0,38,0,0
2023-02-01,0,11,0,0,59,0,0,3,34,4,1,0,9,23,0,5,0,32,0,25,0,0,3,0,40,40,37,0,0,90,83,41,5,0,10,9,4,0,27,0,3,10,68,15,11,15,14,23,55,0,51,0,0,0,0,0,0,0,0,0,0,0,53,0,0,15,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,36,0,0
2023-03-01,0,17,0,0,59,0,0,0,36,5,1,0,7,22,0,6,0,36,0,36,0,0,2,1,42,33,31,0,0,81,69,47,5,0,11,8,3,0,54,0,3,9,62,52,7,9,10,18,49,0,30,0,0,0,0,0,28,0,0,71,0,0,55,1,0,33,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,76,0,0
2023-04-01,0,42,0,0,45,0,0,4,38,6,1,0,9,31,0,8,0,33,0,31,0,0,2,1,47,28,33,0,0,90,74,45,0,5,2,0,0,0,20,0,0,10,100,18,8,11,10,22,54,0,37,0,0,0,0,0,15,0,0,55,0,0,47,1,0,31,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,100,0,0
