date,country,topic,mudando a,huir de Colombia,huyendo de Colombia,como salir de Colombia,como irse de Colombia,lugar seguro en Brasil,lugar seguro en Perú,lugar seguro en Panamá,lugar seguro en Venezuela,lugar seguro en Ecuador,lugares seguros en Brasil,lugares seguros en Perú,lugares seguros en Panamá,lugares seguros en Venezuela,lugares seguros en Ecuador,lugar para quedarse en Brasil,lugar para quedarse en Perú,lugar para quedarse en Panamá,lugar para quedarse en Venezuela,lugar para quedarse en Ecuador,lugares para quedarse en Brasil,lugares para quedarse en Perú,lugares para quedarse en Panamá,lugares para quedarse en Venezuela,lugares para quedarse en Ecuador,refugio seguro en Brasil,refugio seguro en Perú,refugio seguro en Panamá,refugio seguro en Venezuela,refugio seguro en Ecuador,refugiado,refugiado de Colombia,refugiada,refugiada de Colombia,asilo,asilo en Brasil,asilo en Perú,asilo en Panamá,asilo en Venezuela,asilo en Ecuador,emergencia en Colombia,yéndose de Colombia,saliendo de Colombia,camino seguro de Colombia,camino seguro a Brasil,camino seguro a Perú,camino seguro a Panamá,camino seguro a Venezuela,camino seguro a Ecuador,ruta segura de Colombia,ruta segura a Brasil,ruta segura a Perú,ruta segura a Panamá,ruta segura a Venezuela,ruta segura a Ecuador,tener que salir de Colombia,tengo que salir de Colombia,salvoconducto,salida,salida de Colombia,ayúdame a salir de Colombia,necesito ayuda para salir de Colombia,como salir mañana,tengo que irme de Colombia
2020-07-01,COL,general,0,0,0,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,14.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,65.0,2.0,0.0,0.0,0.0,0.0
2020-08-01,COL,general,0,0,0,34,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,6.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.0,2.0,0.0,0.0,0.0,0.0
2020-09-01,COL,general,0,0,0,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,16.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,24.0,3.0,73.0,3.0,0.0,0.0,0.0,0.0
2020-10-01,COL,general,0,0,0,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,9.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,70.0,3.0,0.0,0.0,0.0,0.0
2020-11-01,COL,general,0,0,0,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,20.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,71.0,3.0,0.0,0.0,0.0,0.0
2020-12-01,COL,general,0,0,0,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,12.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,53.0,3.0,0.0,0.0,0.0,0.0
2021-01-01,COL,general,0,0,0,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,14.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,5.0,55.0,3.0,0.0,0.0,0.0,0.0
2021-02-01,COL,general,0,0,0,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,13.0,6.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,2.0,0.0,0.0,0.0,0.0
2021-03-01,COL,general,0,0,0,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,7.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,15.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,3.0,0.0,0.0,0.0,0.0
2021-04-01,COL,general,0,0,0,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,21.0,11.0,0.0,495.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,81.0,3.0,0.0,0.0,0.0,0.0
