date,country,topic,trabajo en Brasil,trabajo en Perú,trabajo en Panamá,trabajo en Venezuela,trabajo en Ecuador,visa de trabajo,moneda de Brasil,moneda de Perú,moneda de Panamá,moneda de Venezuela,moneda de Ecuador,ayuda en Brasil,ayuda en Perú,ayuda en Panamá,ayuda en Venezuela,ayuda en Ecuador,cruz roja,asistencia en Colombia,refugio en Brasil,refugio en Perú,refugio en Panamá,refugio en Venezuela,refugio en Ecuador,aplicar a,pasaporte,documentos,consulado,embajada,protección,donde encontrar ayuda en Colombia,como encontrar refugio en Brasil,como encontrar refugio en Perú,como encontrar refugio en Panamá,como encontrar refugio en Venezuela,como encontrar refugio en Ecuador
2021-04-01,COL,destination,11,0,0,35,29,183.33333333333331,99.0,18.333333333333332,14.666666666666666,51.33333333333333,80.66666666666666,0.0,0.0,0.0,0.0,0.0,1173.3333333333333,53.166666666666664,0.0,0.0,0.0,0.0,0.0,6.0,30.0,29.57142857142857,4.285714285714286,10.285714285714285,20.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,COL,destination,13,42,0,16,26,216.66666666666666,95.33333333333333,26.0,21.666666666666664,43.33333333333333,86.66666666666666,0.0,0.0,0.0,0.0,0.0,1430.0,108.33333333333333,0.0,0.0,0.0,0.0,0.0,6.0,38.0,29.57142857142857,5.142857142857142,13.285714285714285,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,COL,destination,42,0,0,34,73,247.8,113.4,12.600000000000001,16.8,58.800000000000004,67.2,0.0,0.0,0.0,0.0,0.0,869.4000000000001,78.30000000000001,0.0,0.0,0.0,0.0,0.0,6.0,57.0,28.71428571428571,5.142857142857142,15.0,19.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,COL,destination,16,0,13,13,33,256.0,152.0,32.0,0.0,56.888888888888886,99.55555555555554,0.0,0.0,0.0,0.0,0.0,1952.0,57.77777777777777,0.0,0.0,0.0,0.0,0.0,6.0,58.0,31.285714285714285,5.571428571428571,15.857142857142856,19.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,COL,destination,22,0,11,32,51,233.20000000000002,158.4,22.0,30.800000000000004,92.4,96.80000000000001,0.0,0.0,0.0,0.0,0.0,1386.0,68.86956521739131,0.0,0.0,0.0,0.0,0.0,6.0,53.0,34.714285714285715,5.571428571428571,12.857142857142856,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,COL,destination,0,0,0,0,25,60.0,28.0,0.0,7.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,76.0,54.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0,35.875,4.8125,12.25,20.5625,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,COL,destination,52,22,0,36,27,233.99999999999997,138.66666666666666,26.0,17.333333333333332,99.66666666666666,82.33333333333333,0.0,0.0,0.0,0.0,0.0,1612.0,50.96,0.0,0.0,0.0,0.0,0.0,6.0,63.0,31.71428571428571,4.285714285714286,12.0,20.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,COL,destination,12,11,51,41,47,248.0,144.0,16.0,32.0,32.0,92.0,0.0,0.0,0.0,0.0,0.0,1040.0,48.0,0.0,0.0,0.0,0.0,0.0,7.0,71.0,35.4375,4.8125,12.6875,21.4375,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,COL,destination,0,41,0,51,50,50.0,25.0,6.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,600.0,7.846153846153847,0.0,0.0,0.0,0.0,0.0,4.0,61.0,30.8,3.6,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,COL,destination,14,17,15,43,47,466.6666666666667,158.66666666666669,37.333333333333336,23.333333333333336,88.66666666666667,140.0,0.0,0.0,0.0,0.0,0.0,2874.666666666667,42.82352941176471,0.0,0.0,0.0,0.0,0.0,6.0,100.0,33.0,5.571428571428571,17.57142857142857,19.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,COL,destination,19,0,13,45,51,361.0,185.25,19.0,28.5,79.8,102.6,0.0,0.0,0.0,0.0,0.0,1425.0,62.0,0.0,0.0,0.0,0.0,0.0,7.0,89.0,45.266666666666666,5.6,17.266666666666666,31.733333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,COL,destination,10,15,25,49,42,335.0,200.0,40.0,45.0,110.0,130.0,0.0,0.0,0.0,0.0,0.0,3120.0,88.0,0.0,0.0,0.0,0.0,0.0,8.0,71.0,45.17647058823529,6.588235294117647,16.0,26.352941176470587,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,COL,destination,12,19,18,60,42,328.0,184.0,32.0,32.0,88.88888888888889,124.44444444444444,0.0,0.0,0.0,0.0,0.0,2464.0,67.55555555555556,0.0,0.0,0.0,0.0,0.0,7.0,73.0,42.875,4.8125,14.875,23.1875,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,COL,destination,20,0,10,42,30,288.0,144.0,24.0,16.0,88.0,92.0,0.0,0.0,0.0,0.0,0.0,1632.0,89.0,0.0,0.0,0.0,0.0,0.0,7.0,68.0,43.75,4.8125,15.3125,22.3125,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,COL,destination,14,23,29,32,42,392.0,182.0,0.0,23.333333333333336,16.0,27.0,0.0,0.0,0.0,0.0,0.0,81.0,65.0,0.0,0.0,0.0,0.0,0.0,7.0,90.0,40.6875,5.25,14.0,19.6875,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,COL,destination,30,11,20,28,25,291.42857142857144,222.85714285714286,21.428571428571427,34.285714285714285,72.85714285714286,137.14285714285714,0.0,0.0,0.0,0.0,0.0,1649.9999999999998,48.7012987012987,0.0,0.0,0.0,0.0,0.0,6.0,93.0,36.46153846153847,5.0769230769230775,14.76923076923077,23.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,COL,destination,22,22,8,58,43,312.40000000000003,180.4,26.400000000000002,35.2,71.65714285714286,109.37142857142858,0.0,0.0,0.0,0.0,0.0,2244.0,70.4,0.0,0.0,0.0,0.0,0.0,7.0,84.0,45.266666666666666,5.6,16.333333333333332,24.733333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,COL,destination,23,0,12,33,48,335.79999999999995,170.2,27.599999999999998,32.199999999999996,64.39999999999999,92.0,0.0,0.0,0.0,0.0,0.0,2097.6,62.099999999999994,0.0,0.0,0.0,0.0,0.0,6.0,76.0,39.2,4.800000000000001,13.600000000000001,19.6,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,COL,destination,30,27,7,41,50,385.7142857142857,274.2857142857143,0.0,42.857142857142854,24.0,29.0,0.0,0.0,0.0,0.0,0.0,73.0,75.0,0.0,0.0,0.0,0.0,0.0,7.0,67.0,37.1875,4.8125,14.4375,20.5625,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,COL,destination,26,22,6,37,45,346.66666666666663,216.66666666666666,34.666666666666664,30.333333333333332,78.0,121.33333333333333,0.0,0.0,0.0,0.0,0.0,2634.6666666666665,52.49523809523809,0.0,0.0,0.0,0.0,0.0,7.0,53.0,35.4375,4.375,12.6875,21.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,COL,destination,22,8,8,34,52,255.20000000000002,158.4,22.0,0.0,88.0,105.60000000000001,0.0,0.0,0.0,0.0,0.0,1980.0,55.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,29.545454545454543,3.6363636363636362,12.272727272727272,17.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,COL,destination,7,0,26,38,69,325.5,199.5,10.5,14.0,57.75,86.625,0.0,0.0,0.0,0.0,0.0,756.0,40.599999999999994,0.0,0.0,0.0,0.0,0.0,6.0,79.0,30.461538461538463,6.0,16.615384615384617,24.461538461538463,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,COL,destination,22,6,19,36,21,365.20000000000005,171.60000000000002,13.200000000000001,13.200000000000001,74.80000000000001,96.80000000000001,0.0,0.0,0.0,0.0,0.0,937.2,85.80000000000001,0.0,0.0,0.0,0.0,0.0,7.0,56.0,35.0,4.8125,13.125,29.75,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,COL,destination,23,13,19,45,45,308.2,151.79999999999998,0.0,0.0,15.0,27.0,0.0,0.0,0.0,0.0,0.0,76.0,78.0,0.0,0.0,0.0,0.0,0.0,7.0,49.0,36.64705882352941,4.529411764705882,11.941176470588236,24.294117647058822,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,COL,destination,21,0,0,40,44,357.0,172.20000000000002,21.0,29.400000000000002,63.0,94.5,0.0,0.0,0.0,0.0,0.0,1491.0,63.91304347826087,0.0,0.0,0.0,0.0,0.0,7.0,49.0,32.375,4.375,12.25,21.875,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,COL,destination,22,0,9,45,25,347.6,180.4,48.400000000000006,26.400000000000002,61.60000000000001,101.2,0.0,0.0,0.0,0.0,0.0,3436.4000000000005,68.99574468085108,0.0,0.0,0.0,0.0,0.0,7.0,50.0,34.588235294117645,5.352941176470588,11.117647058823529,22.235294117647058,0.0,0.0,0.0,0.0,0.0,0.0
