date,location,generic_terms,geography,safe_places,travel
2023-01-16,sennar,0.0,0.0,0.0,0.0
2023-01-16,south darfur,0.0,0.0,0.0,0.0
2023-01-16,south kordofan,0.0,0.0,0.0,0.0
2023-01-16,west darfur,0.0,0.0,0.0,0.0
2023-01-16,west kordofan,0.0,0.0,0.0,0.0
2023-01-16,white nile,0.0,0.0,0.0,0.0
2023-01-17,al jazirah,0.0,0.0,0.0,0.0
2023-01-17,blue nile,0.0,0.0,0.0,0.0
2023-01-17,central darfur,0.0,0.0,0.0,0.0
2023-01-17,east darfur,0.0,0.0,0.0,0.0
2023-01-17,kassala,0.0,0.0,0.0,0.0
2023-01-17,khartoum,0.0,1.0,2.642857142857143,1.4545454545454546
2023-01-17,north darfur,0.0,0.0,0.0,0.0
2023-01-17,north kordofan,0.0,0.0,0.0,0.0
2023-01-17,northern,0.0,0.0,0.0,0.0
2023-01-17,red sea,0.0,0.0,3.071428571428572,0.0
2023-01-17,river nile,0.0,0.0,0.0,0.0
2023-01-17,sennar,0.0,0.0,0.0,0.0
2023-01-17,south darfur,0.0,0.0,0.0,0.0
2023-01-17,south kordofan,0.0,0.0,0.0,0.0
2023-01-17,west darfur,0.0,0.0,0.0,0.0
2023-01-17,west kordofan,0.0,0.0,0.0,0.0
2023-01-17,white nile,0.0,0.0,0.0,0.0
2023-01-18,al jazirah,0.0,0.0,0.0,0.0
2023-01-18,blue nile,0.0,0.0,0.0,0.0
2023-01-18,central darfur,0.0,0.0,0.0,0.0
2023-01-18,east darfur,0.0,0.0,0.0,0.0
2023-01-18,kassala,0.0,0.0,0.0,0.0
2023-01-18,khartoum,0.0,1.3333333333333333,4.071428571428571,1.7272727272727273
2023-01-18,north darfur,0.0,0.0,0.0,0.0
2023-01-18,north kordofan,0.0,0.0,0.0,0.0
2023-01-18,northern,0.0,0.0,0.0,0.0
2023-01-18,red sea,0.0,0.0,1.1428571428571428,0.0
2023-01-18,river nile,0.0,0.0,0.0,0.0
2023-01-18,sennar,0.0,0.0,7.142857142857143,0.0
2023-01-18,south darfur,0.0,0.0,0.0,0.0
2023-01-18,south kordofan,0.0,0.0,0.0,0.0
2023-01-18,west darfur,0.0,0.0,0.0,0.0
2023-01-18,west kordofan,0.0,0.0,0.0,0.0
2023-01-18,white nile,0.0,0.0,0.0,0.0
2023-01-19,al jazirah,0.0,0.0,0.0,0.0
2023-01-19,blue nile,0.0,0.0,0.0,0.0
2023-01-19,central darfur,0.0,0.0,0.0,0.0
2023-01-19,east darfur,0.0,0.0,0.0,0.0
2023-01-19,kassala,0.0,0.0,0.0,0.0
2023-01-19,khartoum,1.6666666666666667,1.6666666666666667,5.428571428571429,1.2727272727272727
2023-01-19,north darfur,0.0,0.0,0.0,0.0
2023-01-19,north kordofan,0.0,0.0,0.0,0.0
2023-01-19,northern,0.0,0.0,4.214285714285714,0.0
2023-01-19,red sea,0.0,8.0,8.5,0.0
2023-01-19,river nile,0.0,0.0,0.0,0.0
2023-01-19,sennar,0.0,0.0,0.0,0.0
2023-01-19,south darfur,0.0,0.0,0.0,0.0
2023-01-19,south kordofan,0.0,0.0,0.0,0.0
2023-01-19,west darfur,0.0,0.0,0.0,0.0
2023-01-19,west kordofan,0.0,0.0,0.0,0.0
2023-01-19,white nile,0.0,0.0,0.0,0.0
2023-01-20,al jazirah,0.0,0.0,0.0,0.0
2023-01-20,blue nile,0.0,0.0,0.0,0.0
2023-01-20,central darfur,0.0,0.0,0.0,0.0
2023-01-20,east darfur,0.0,0.0,0.0,0.0
2023-01-20,kassala,0.0,0.0,0.0,0.0
2023-01-20,khartoum,3.333333333333333,1.6666666666666667,4.357142857142857,0.0
2023-01-20,north darfur,0.0,0.0,0.0,0.0
2023-01-20,north kordofan,0.0,0.0,0.0,0.0
2023-01-20,northern,0.0,0.0,0.0,0.0
2023-01-20,red sea,0.0,0.0,4.0,0.0
2023-01-20,river nile,0.0,0.0,0.0,0.0
2023-01-20,sennar,0.0,0.0,0.0,0.0
2023-01-20,south darfur,0.0,0.0,0.0,0.0
2023-01-20,south kordofan,0.0,0.0,0.0,0.0
2023-01-20,west darfur,0.0,0.0,0.0,0.0
2023-01-20,west kordofan,0.0,0.0,0.0,0.0
2023-01-20,white nile,0.0,0.0,0.0,0.0
2023-01-21,al jazirah,0.0,0.0,0.0,0.0
2023-01-21,blue nile,0.0,0.0,0.0,0.0
2023-01-21,central darfur,0.0,0.0,0.0,0.0
2023-01-21,east darfur,0.0,0.0,0.0,0.0
2023-01-21,kassala,0.0,0.0,0.0,0.0
2023-01-21,khartoum,2.0,0.6666666666666666,4.357142857142857,0.5454545454545454
2023-01-21,north darfur,0.0,0.0,0.0,0.0
2023-01-21,north kordofan,0.0,0.0,0.0,0.0
2023-01-21,northern,0.0,0.0,2.2142857142857144,0.0
2023-01-21,red sea,0.0,0.0,0.0,0.0
2023-01-21,river nile,0.0,0.0,0.0,0.0
2023-01-21,sennar,0.0,0.0,0.0,0.0
2023-01-21,south darfur,0.0,0.0,0.0,0.0
2023-01-21,south kordofan,0.0,0.0,0.0,0.0
2023-01-21,west darfur,0.0,0.0,0.0,0.0
2023-01-21,west kordofan,0.0,0.0,0.0,0.0
2023-01-21,white nile,0.0,0.0,0.0,0.0
2023-01-22,al jazirah,0.0,0.0,0.0,0.0
2023-01-22,blue nile,0.0,0.0,0.0,0.0
2023-01-22,central darfur,0.0,0.0,0.0,0.0
2023-01-22,east darfur,0.0,0.0,0.0,0.0
2023-01-22,kassala,0.0,0.0,0.0,0.0
2023-01-22,khartoum,0.0,0.0,3.2142857142857144,1.5454545454545454
2023-01-22,north darfur,0.0,0.0,0.0,0.0
2023-01-22,north kordofan,0.0,0.0,0.0,0.0
2023-01-22,northern,0.0,0.0,0.0,0.0
2023-01-22,red sea,0.0,7.666666666666667,7.214285714285714,0.0
2023-01-22,river nile,0.0,0.0,0.0,0.0
2023-01-22,sennar,0.0,0.0,0.0,0.0
2023-01-22,south darfur,0.0,0.0,0.0,0.0
2023-01-22,south kordofan,0.0,0.0,0.0,0.0
2023-01-22,west darfur,0.0,0.0,0.0,0.0
2023-01-22,west kordofan,0.0,0.0,0.0,0.0
2023-01-22,white nile,0.0,0.0,0.0,0.0
2023-01-23,al jazirah,0.0,0.0,0.0,0.0
2023-01-23,blue nile,0.0,0.0,0.0,0.0
2023-01-23,central darfur,0.0,0.0,0.0,0.0
2023-01-23,east darfur,0.0,0.0,0.0,0.0
2023-01-23,kassala,0.0,0.0,0.0,0.0
2023-01-23,khartoum,0.0,0.0,3.7857142857142856,1.2727272727272727
2023-01-23,north darfur,0.0,0.0,0.0,0.0
2023-01-23,north kordofan,0.0,0.0,0.0,0.0
2023-01-23,northern,0.0,0.0,0.0,0.0
2023-01-23,red sea,0.0,16.666666666666668,0.0,0.0
2023-01-23,river nile,0.0,0.0,0.0,0.0
2023-01-23,sennar,0.0,0.0,0.0,0.0
2023-01-23,south darfur,0.0,0.0,0.0,0.0
2023-01-23,south kordofan,0.0,0.0,0.0,0.0
2023-01-23,west darfur,0.0,0.0,0.0,0.0
2023-01-23,west kordofan,0.0,0.0,0.0,0.0
2023-01-23,white nile,0.0,0.0,0.0,0.0
2023-01-24,al jazirah,0.0,0.0,0.0,0.0
2023-01-24,blue nile,0.0,0.0,0.0,0.0
2023-01-24,central darfur,0.0,0.0,0.0,0.0
2023-01-24,east darfur,0.0,0.0,0.0,0.0
2023-01-24,kassala,0.0,0.0,0.0,0.0
2023-01-24,khartoum,0.0,0.0,3.357142857142857,2.272727272727273
2023-01-24,north darfur,0.0,0.0,0.0,0.0
2023-01-24,north kordofan,0.0,0.0,0.0,0.0
2023-01-24,northern,0.0,0.0,3.4285714285714284,0.0
2023-01-24,red sea,0.0,0.0,1.3571428571428572,0.0
2023-01-24,river nile,0.0,0.0,0.0,0.0
2023-01-24,sennar,0.0,0.0,0.0,0.0
2023-01-24,south darfur,0.0,0.0,0.0,0.0
2023-01-24,south kordofan,0.0,0.0,0.0,0.0
2023-01-24,west darfur,0.0,0.0,0.0,0.0
2023-01-24,west kordofan,0.0,0.0,0.0,0.0
2023-01-24,white nile,0.0,0.0,0.0,0.0
2023-01-25,al jazirah,0.0,0.0,0.0,0.0
2023-01-25,blue nile,0.0,0.0,0.0,0.0
2023-01-25,central darfur,0.0,0.0,0.0,0.0
2023-01-25,east darfur,0.0,0.0,0.0,0.0
