date,location,arriving_IDP,leaving_IDP,fatalities,event_count
2023-05-18,east darfur,7000.0,0.0,0.0,0.0
2023-05-18,gedaref,42240.0,0.0,0.0,1.0
2023-05-18,kassala,29170.0,0.0,0.0,0.0
2023-05-18,khartoum,19585.0,937282.0,0.0,0.0
2023-05-18,north darfur,29300.0,24350.0,0.0,0.0
2023-05-18,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-18,northern,188055.0,0.0,0.0,0.0
2023-05-18,red sea,22817.0,0.0,0.0,0.0
2023-05-18,river nile,186115.0,0.0,0.0,0.0
2023-05-18,sennar,120725.0,0.0,0.0,0.0
2023-05-18,south darfur,89820.0,96910.0,0.0,0.0
2023-05-18,south kordofan,9179.0,0.0,0.0,0.0
2023-05-18,west darfur,273220.0,277020.0,0.0,0.0
2023-05-18,west kordofan,686.0,0.0,0.0,0.0
2023-05-18,white nile,211164.0,0.0,0.0,0.0
2023-05-19,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-19,blue nile,4145.0,0.0,0.0,0.0
2023-05-19,central darfur,90280.0,90280.0,0.0,0.0
2023-05-19,east darfur,7000.0,0.0,0.0,0.0
2023-05-19,gedaref,42240.0,0.0,0.0,0.0
2023-05-19,kassala,29170.0,0.0,15.0,1.0
2023-05-19,khartoum,19585.0,937282.0,13.0,9.0
2023-05-19,north darfur,29300.0,24350.0,0.0,0.0
2023-05-19,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-19,northern,188055.0,0.0,0.0,0.0
2023-05-19,red sea,22817.0,0.0,0.0,0.0
2023-05-19,river nile,186115.0,0.0,0.0,0.0
2023-05-19,sennar,120725.0,0.0,0.0,0.0
2023-05-19,south darfur,89820.0,96910.0,0.0,0.0
2023-05-19,south kordofan,9179.0,0.0,0.0,0.0
2023-05-19,west darfur,273220.0,277020.0,0.0,0.0
2023-05-19,west kordofan,686.0,0.0,0.0,0.0
2023-05-19,white nile,211164.0,0.0,0.0,0.0
2023-05-20,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-20,blue nile,4145.0,0.0,0.0,0.0
2023-05-20,central darfur,90280.0,90280.0,0.0,0.0
2023-05-20,east darfur,7000.0,0.0,0.0,0.0
2023-05-20,gedaref,42240.0,0.0,0.0,0.0
2023-05-20,kassala,29170.0,0.0,0.0,0.0
2023-05-20,khartoum,19585.0,937282.0,0.0,0.0
2023-05-20,north darfur,29300.0,24350.0,0.0,0.0
2023-05-20,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-20,northern,188055.0,0.0,0.0,0.0
2023-05-20,red sea,22817.0,0.0,0.0,0.0
2023-05-20,river nile,186115.0,0.0,0.0,0.0
2023-05-20,sennar,120725.0,0.0,0.0,0.0
2023-05-20,south darfur,89820.0,96910.0,0.0,0.0
2023-05-20,south kordofan,9179.0,0.0,0.0,0.0
2023-05-20,west darfur,273220.0,277020.0,0.0,0.0
2023-05-20,west kordofan,686.0,0.0,0.0,0.0
2023-05-20,white nile,211164.0,0.0,0.0,0.0
2023-05-21,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-21,blue nile,4145.0,0.0,0.0,0.0
2023-05-21,central darfur,90280.0,90280.0,0.0,0.0
2023-05-21,east darfur,7000.0,0.0,0.0,0.0
2023-05-21,gedaref,42240.0,0.0,0.0,0.0
2023-05-21,kassala,29170.0,0.0,0.0,0.0
2023-05-21,khartoum,19585.0,937282.0,0.0,0.0
2023-05-21,north darfur,29300.0,24350.0,0.0,0.0
