location,Y,X(s),covariate num.,r^2,offset
north kordofan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.6913395175585371,1
north kordofan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7853831426927274,2
north kordofan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.5292110238056045,2
north kordofan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.20369499333707985,3
north kordofan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.21386855612675715,3
northern,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.3360183183715032,-4
northern,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
northern,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.03519283200718282,-3
northern,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
northern,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0038144768995994616,-2
northern,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
northern,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0007958186824832403,-1
northern,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
northern,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0007958186824832403,0
northern,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
northern,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0038144768995994616,1
northern,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
northern,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.03519283200718282,2
northern,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
northern,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.3360183183715032,3
northern,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
red sea,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-4
red sea,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
red sea,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-3
red sea,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
red sea,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-2
red sea,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
