date,location,arriving_IDP,leaving_IDP,anger,fear,sadness,disgust,joy,anger-disgust
2023-06-07,sudan,0.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-08,south sudan,2938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-08,sudan,0.0,2938.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-09,south sudan,1802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-09,sudan,0.0,1802.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-10,south sudan,1857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-10,sudan,0.0,1857.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11,south sudan,2938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11,sudan,0.0,2938.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-12,south sudan,2247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-12,sudan,0.0,2247.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,aj jazirah,100601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,blue nile,15434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,central darfur,93930.0,91780.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,east darfur,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,gazera,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,gedaref,56715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,kassala,35169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,khartoum,20394.0,1093728.0,14.0,1.0,0.0,8.0,0.0,15.0
2023-06-13,north darfur,56025.0,50825.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,north kordofan,35784.0,4403.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,northern,189176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,red sea,28600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,river nile,235935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,sennar,137145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,south darfur,133320.0,142560.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,south kordofan,15059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
