date,ISO,topic,search_count
2023-06-01,Khartoum,safe_places,4.357142857142857
2023-06-02,Khartoum,safe_places,3.857142857142857
2023-06-03,Khartoum,safe_places,4.857142857142857
2023-06-04,Khartoum,safe_places,3.9285714285714284
2023-06-05,Khartoum,safe_places,2.642857142857143
2023-06-06,Khartoum,safe_places,2.2857142857142856
2023-06-07,Khartoum,safe_places,3.7142857142857144
2023-06-08,Khartoum,safe_places,3.4285714285714284
2023-06-09,Khartoum,safe_places,4.071428571428571
2023-06-10,Khartoum,safe_places,1.9285714285714286
2023-06-11,Khartoum,safe_places,2.142857142857143
2023-06-12,Khartoum,safe_places,5.142857142857143
2023-06-13,Khartoum,safe_places,0.5714285714285714
2023-06-14,Khartoum,safe_places,3.5714285714285716
2023-06-15,Khartoum,safe_places,1.9285714285714286
2023-06-16,Khartoum,safe_places,4.936507936507937
2023-06-17,Khartoum,safe_places,2.142857142857143
2023-06-18,Khartoum,safe_places,2.5714285714285716
2023-06-19,Khartoum,safe_places,2.7857142857142856
2023-06-20,Khartoum,safe_places,4.285714285714286
2023-06-21,Khartoum,safe_places,5.214285714285714
2023-06-22,Khartoum,safe_places,2.9285714285714284
2023-06-23,Khartoum,safe_places,4.242857142857143
2023-06-24,Khartoum,safe_places,2.857142857142857
2023-06-25,Khartoum,safe_places,2.0714285714285716
2023-06-26,Khartoum,safe_places,4.319047619047619
2023-06-27,Khartoum,safe_places,3.7857142857142856
2023-06-28,Khartoum,safe_places,14.214285714285714
2023-06-29,Khartoum,safe_places,2.4285714285714284
2023-06-30,Khartoum,safe_places,5.714285714285714
2023-07-01,Khartoum,safe_places,5.857142857142857
2023-07-02,Khartoum,safe_places,12.5
2023-07-03,Khartoum,safe_places,2.642857142857143
2023-07-04,Khartoum,safe_places,5.642857142857143
2023-07-05,Khartoum,safe_places,0.0
2023-07-06,Khartoum,safe_places,4.642857142857143
2023-07-07,Khartoum,safe_places,5.785714285714286
2023-07-08,Khartoum,safe_places,6.928571428571429
2023-07-09,Khartoum,safe_places,5.214285714285714
2023-07-10,Khartoum,safe_places,4.357142857142857
2023-07-11,Khartoum,safe_places,8.571428571428571
2023-07-12,Khartoum,safe_places,2.2142857142857144
2023-07-13,Khartoum,safe_places,13.714285714285714
2023-07-14,Khartoum,safe_places,13.214285714285714
2023-07-15,Khartoum,safe_places,6.428571428571429
2023-07-16,Khartoum,safe_places,4.214285714285714
2023-07-17,Khartoum,safe_places,2.857142857142857
2023-07-18,Khartoum,safe_places,2.7857142857142856
2023-07-19,Khartoum,safe_places,3.142857142857143
2023-07-20,Khartoum,safe_places,4.285714285714286
2023-07-21,Khartoum,safe_places,12.0
2023-07-22,Khartoum,safe_places,6.0
2023-07-23,Khartoum,safe_places,12.428571428571429
2023-01-01,Northern,safe_places,0.0
2023-01-02,Northern,safe_places,0.0
2023-01-03,Northern,safe_places,0.0
2023-01-04,Northern,safe_places,0.0
2023-01-05,Northern,safe_places,0.0
2023-01-06,Northern,safe_places,0.0
2023-01-07,Northern,safe_places,1.1428571428571428
2023-01-08,Northern,safe_places,0.0
2023-01-09,Northern,safe_places,0.0
2023-01-10,Northern,safe_places,1.2857142857142858
2023-01-11,Northern,safe_places,1.4285714285714286
2023-01-12,Northern,safe_places,0.0
2023-01-13,Northern,safe_places,0.0
2023-01-14,Northern,safe_places,1.3571428571428572
2023-01-15,Northern,safe_places,0.0
2023-01-16,Northern,safe_places,1.8571428571428572
2023-01-17,Northern,safe_places,0.0
2023-01-18,Northern,safe_places,0.0
2023-01-19,Northern,safe_places,4.214285714285714
2023-01-20,Northern,safe_places,0.0
2023-01-21,Northern,safe_places,2.2142857142857144
2023-01-22,Northern,safe_places,0.0
2023-01-23,Northern,safe_places,0.0
2023-01-24,Northern,safe_places,3.4285714285714284
2023-01-25,Northern,safe_places,0.0
2023-01-26,Northern,safe_places,1.2857142857142858
2023-01-27,Northern,safe_places,0.0
2023-01-28,Northern,safe_places,0.0
2023-01-29,Northern,safe_places,0.0
2023-01-30,Northern,safe_places,0.0
2023-01-31,Northern,safe_places,1.5714285714285714
2023-02-01,Northern,safe_places,0.0
2023-02-02,Northern,safe_places,2.642857142857143
2023-02-03,Northern,safe_places,1.7857142857142858
2023-02-04,Northern,safe_places,6.714285714285714
2023-02-05,Northern,safe_places,1.6428571428571428
2023-02-06,Northern,safe_places,0.0
2023-02-07,Northern,safe_places,0.0
2023-02-08,Northern,safe_places,0.0
2023-02-09,Northern,safe_places,1.5
2023-02-10,Northern,safe_places,0.0
