event_date,admin1,year,time_precision,inter1,inter2,interaction,iso,latitude,longitude,geo_precision,fatalities,timestamp
04 June 2023,Chernihiv,4046,2,9,8,98,1608,103.72319999999999,63.6653,4,0,3373349714
04 June 2023,Crimea,4046,2,9,1,28,1608,90.6597,68.49080000000001,4,0,3373349714
04 June 2023,Dnipropetrovsk,4046,2,9,8,98,1608,96.03049999999999,69.435,4,0,3373349714
04 June 2023,Donetsk,97104,48,258,151,2290,38592,2312.8214,1801.4827,78,405,80969482911
04 June 2023,Kharkiv,58667,29,232,18,2068,23316,1451.3026,1076.9228,35,32,48915944514
04 June 2023,Kherson,18207,9,72,8,656,7236,421.004,296.5141,12,0,15181896227
04 June 2023,Kirovograd,2023,1,8,0,80,804,48.5153,32.2545,1,0,1686674857
04 June 2023,Kyiv City,2023,1,1,8,18,804,50.4496,30.5224,1,0,1687280462
04 June 2023,Luhansk,8092,4,32,3,134,3216,196.83350000000002,152.1609,7,16,6746699428
04 June 2023,Mykolaiv,2023,1,8,0,80,804,46.6128,31.5498,1,0,1686674857
04 June 2023,Sumy,38437,19,145,15,1456,15276,975.9709,655.8576,22,0,32046822283
04 June 2023,Zaporizhia,30345,15,71,42,626,12060,715.5176,542.6335,20,150,25306184609
04 March 2023,Chernihiv,6069,3,24,0,240,2412,156.58769999999998,98.25540000000001,4,0,5036415459
04 March 2023,Crimea,2023,1,8,1,18,804,45.0657,34.0051,2,0,1678805153
04 March 2023,Dnipropetrovsk,6069,3,24,7,238,2412,142.8256,103.561,5,2,5036415458
04 March 2023,Donetsk,129472,65,442,146,3000,51456,3094.3603,2416.1321,106,47,107451599781
04 March 2023,Kharkiv,44506,22,176,17,1570,17688,1102.0945,817.5937,41,22,36933713365
04 March 2023,Kherson,28322,14,112,8,1056,11256,654.9615,461.245,23,1,23503272142
04 March 2023,Luhansk,18207,9,51,29,224,7236,441.8803,343.9083,16,73,15111108687
04 March 2023,Mykolaiv,2023,1,8,0,80,804,46.6128,31.5498,2,0,1678805153
04 March 2023,Sumy,38437,19,152,0,1520,15276,979.3346,651.0807,22,0,31897297907
04 March 2023,Zaporizhia,46529,23,177,24,1650,18492,1095.9355,827.1552,45,2,38613139287
04 May 2023,Chernihiv,18207,9,72,0,720,7236,468.996,292.3404,18,0,15163721840
04 May 2023,Crimea,2023,1,8,1,18,804,44.6915,33.5758,2,0,1684857982
04 May 2023,Dnipropetrovsk,4046,2,16,7,158,1608,95.11410000000001,68.5515,3,0,3369715962
04 May 2023,Donetsk,121380,61,342,205,2887,48240,2892.4857,2259.2553,89,83,101094458306
04 May 2023,Kharkiv,44506,22,176,4,1512,17688,1100.4976,821.895,44,0,37066875597
04 May 2023,Kherson,38437,19,138,31,1330,15276,892.2797,632.2962,32,80,32012301660
04 May 2023,Kyiv City,4046,2,2,9,29,1608,100.8992,61.0448,2,0,3369715971
04 May 2023,Luhansk,22253,11,74,19,570,8844,539.9116,419.67949999999996,20,0,18533437806
04 May 2023,Odesa,2023,1,8,0,80,804,46.4639,30.7386,1,0,1684857984
04 May 2023,Sumy,32368,16,128,7,1278,12864,819.7466,552.6826,32,0,26957727710
04 May 2023,Zaporizhia,40460,20,160,3,1414,16080,952.6479,718.8664,20,0,33697159636
05 April 2023,Chernihiv,6069,3,24,0,240,2412,156.1497,98.098,4,0,5043935882
05 April 2023,Dnipropetrovsk,2023,1,8,0,80,804,47.5712,34.3964,1,0,1681311960
05 April 2023,Donetsk,119357,60,416,109,3162,47436,2855.2695,2225.0126999999998,76,129,99202804543
05 April 2023,Kharkiv,50575,26,186,33,1686,20100,1249.4464,926.0426,31,16,42032799004
05 April 2023,Kherson,46529,23,169,30,1702,18492,1077.217,762.5989,27,1,38671254863
05 April 2023,Luhansk,20230,10,73,14,366,8040,491.986,381.0712,16,50,16814739267
05 April 2023,Mykolaiv,2023,1,8,0,80,804,46.6128,31.5498,2,0,1681311960
05 April 2023,Sumy,20230,10,73,8,738,8040,513.1514999999999,344.83,18,0,16813119606
05 April 2023,Zaporizhia,50575,26,151,49,1496,20100,1188.1221,894.8402,39,0,42034418680
05 February 2023,Chernihiv,2023,1,8,0,80,804,52.089,31.7781,2,0,1676403731
05 February 2023,Dnipropetrovsk,2023,1,8,0,80,804,47.9751,36.4561,2,0,1676403731
05 February 2023,Donetsk,119357,59,388,125,2610,47436,2846.9191,2223.9929,101,127,98915601198
05 February 2023,Kharkiv,46529,23,177,16,1714,18492,1152.6153,850.4103,44,0,38557883620
05 February 2023,Kherson,26299,13,104,14,1036,10452,609.7947,430.8687,13,0,21793248501
05 February 2023,Luhansk,18207,9,72,3,534,7236,442.7734,342.53679999999997,12,41,15087633575
05 February 2023,Sumy,12138,6,48,0,480,4824,309.331,206.0645,12,0,10058422386
05 February 2023,Zaporizhia,20230,10,80,0,800,8040,476.3741,361.7356,10,0,16764037310
05 January 2023,Chernihiv,2023,1,8,0,80,804,52.1783,32.5818,2,0,1673376409
05 January 2023,Crimea,2023,1,8,1,18,804,45.4465,34.7397,1,0,1673376411
05 January 2023,Dnipropetrovsk,2023,1,8,0,80,804,47.5712,34.3964,1,0,1673376409
05 January 2023,Donetsk,105196,52,339,111,2484,41808,2507.7944,1960.058,81,26,87045222279
05 January 2023,Kharkiv,36414,18,137,17,1252,14472,898.5001,673.3635,32,20,30120775385
05 January 2023,Kherson,24276,12,75,50,746,9648,562.0649,398.4762,13,6,20082346659
05 January 2023,Luhansk,18207,9,58,29,294,7236,442.9448,343.6629,17,31,15065827946
05 January 2023,Mykolaiv,2023,1,8,0,80,804,46.6128,31.5498,2,0,1673376409
05 January 2023,Zaporizhia,40460,20,153,17,1412,16080,951.6147,718.6359,25,3,33472968460
05 June 2023,Dnipropetrovsk,4046,2,9,8,98,1608,96.03049999999999,69.435,4,0,3373349714
05 June 2023,Donetsk,137564,68,383,202,3258,54672,3277.6366,2553.8075,118,293,114705402482
05 June 2023,Kharkiv,66759,33,257,32,2386,26532,1654.0204,1223.0916,63,29,55661481502
05 June 2023,Kherson,12138,6,48,14,476,4824,280.3247,197.3539,11,1,10120049142
05 June 2023,Kyiv City,2023,1,6,0,60,804,50.4496,30.5224,1,0,1686674857
05 June 2023,Luhansk,10115,5,33,10,151,4020,245.70600000000002,190.6104,9,1,8436408010
05 June 2023,Mykolaiv,2023,1,8,0,80,804,46.6128,31.5498,2,0,1686674857
05 June 2023,Sumy,38437,19,152,0,1520,15276,974.2561000000001,655.8926,38,0,32046822287
05 June 2023,Zaporizhia,48552,24,157,25,1532,19296,1142.2654,865.6557,43,0,40483224601
05 March 2023,Chernihiv,4046,2,16,0,160,1608,104.58930000000001,64.9903,2,0,3357610306
05 March 2023,Dnipropetrovsk,2023,1,8,0,80,804,47.5712,34.3964,1,0,1678805153
05 March 2023,Donetsk,97104,48,307,115,1916,38592,2315.7465,1809.4270999999999,80,44,80585751197
05 March 2023,Kharkiv,26299,13,104,8,976,10452,651.7101,483.3307,17,2,21825087756
05 March 2023,Kherson,12138,6,48,7,478,4824,280.4134,197.5552,6,3,10072830919
05 March 2023,Luhansk,14161,7,49,12,250,5628,344.0215,267.2141,13,1,11752877607
05 March 2023,Sumy,18207,9,72,0,720,7236,464.1536,308.2932,10,0,15109246377
05 March 2023,Zaporizhia,10115,5,33,10,214,4020,237.5554,178.8832,7,0,8394025766
05 May 2023,Chernihiv,6069,3,24,0,240,2412,155.9441,97.249,6,0,5054573952
05 May 2023,Dnipropetrovsk,4046,2,9,8,98,1608,96.03049999999999,69.435,3,0,3369715969
05 May 2023,Donetsk,123403,61,376,155,3510,49044,2943.9632,2296.9388,101,6,102776336988
05 May 2023,Kharkiv,34391,17,136,0,1360,13668,852.9589,627.1171,34,0,28642585703
05 May 2023,Kherson,12138,6,48,0,480,4824,281.1676,198.531,11,0,10109147896
