date,country,topic,vivienda,viviendas,vivienda en Brasil,vivienda en Perú,vivienda en Panamá,vivienda en Venezuela,vivienda en Ecuador,viviendas en Brasil,viviendas en Perú,viviendas en Panamá,viviendas en Venezuela,viviendas en Ecuador,alojamiento en Brasil,alojamiento en Perú,alojamiento en Panamá,alojamiento en Venezuela,alojamiento en Ecuador,ruta a Brasil,ruta a Perú,ruta a Panamá,ruta a Venezuela,ruta a Ecuador,camino a Brasil,camino a Perú,camino a Panamá,camino a Venezuela,camino a Ecuador,zona segura en Brasil,zona segura en Perú,zona segura en Panamá,zona segura en Venezuela,zona segura en Ecuador,región segura en,frontera con Brasil,frontera con Perú,frontera con Panamá,frontera con Venezuela,frontera con Ecuador,cruce,cruce de fronteras abiertas,fronteras abiertas,cruce de fronterizo más cercano,cruce seguro de fronteras,zonas seguras,regiones seguras,hogares en Brasil,hogares en Perú,hogares en Panamá,hogares en Venezuela,hogares en Ecuador
2020-10-01,COL,geography,89,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,11.0,84.0,0.0,4.0,0.0,0.0,0.9746835443037974,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,COL,geography,78,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,21.0,13.2,96.0,0.0,4.8,0.0,0.0,1.6708860759493671,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,COL,geography,53,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,6.0,77.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,COL,geography,96,6,0,0,0,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,12.0,14.857142857142856,91.42857142857142,0.0,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,COL,geography,82,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,9.0,10.666666666666666,120.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,COL,geography,69,6,0,0,0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,14.0,14.666666666666666,125.33333333333333,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,COL,geography,66,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,11.0,7.0,90.0,0.0,3.0,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,COL,geography,75,7,0,0,0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,11.0,11.571428571428573,114.42857142857143,0.0,3.8571428571428577,0.0,0.0,1.0681318681318683,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,COL,geography,65,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,21.0,9.0,82.0,0.0,4.0,0.0,0.0,1.1911764705882353,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,COL,geography,85,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,8.0,83.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,COL,geography,76,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,9.0,9.6,116.39999999999999,0.0,3.5999999999999996,0.0,0.0,2.045901639344262,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,COL,geography,58,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,12.0,13.2,102.0,0.0,2.4,0.0,0.0,2.455813953488372,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,COL,geography,55,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,17.0,8.0,89.14285714285714,0.0,2.2857142857142856,0.0,0.0,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,COL,geography,57,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,12.0,5.0,84.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,COL,geography,42,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,12.0,7.5,82.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,COL,geography,100,6,0,0,0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,12.0,16.0,89.33333333333333,0.0,0.0,0.0,0.0,2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,COL,geography,89,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,16.0,12.0,127.5,0.0,0.0,0.0,0.0,1.5737704918032787,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,COL,geography,76,6,0,0,0,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,13.0,13.5,127.5,0.0,1.5,0.0,0.0,1.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,COL,geography,73,6,0,0,0,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,11.0,9.6,114.0,0.0,2.4,0.0,0.0,2.632258064516129,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,COL,geography,68,6,0,0,0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,12.0,6.666666666666666,109.33333333333333,0.0,0.0,0.0,0.0,1.5384615384615383,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,COL,geography,58,6,0,0,0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,13.0,8.75,107.5,0.0,0.0,0.0,0.0,2.227272727272727,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,COL,geography,64,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,6.25,96.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,COL,geography,70,6,0,0,0,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,14.0,6.0,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,COL,geography,61,6,0,0,0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,36.0,6.0,87.0,0.0,0.0,0.0,0.0,0.9545454545454545,0.0,0.0,0.0,0.0,0.0,0.0
