date,country,topic,caminar a Brasil,caminar a Perú,caminar a Panamá,caminar a Venezuela,caminar a Ecuador,billete de avión a Brasil,billete de avión a Perú,billete de avión a Panamá,billete de avión a Venezuela,billete de avión a Ecuador,aeropuerto cerca de mi,bote a Brasil,bote a Perú,bote a Panamá,bote a Venezuela,bote a Ecuador,tren a Brasil,tren a Perú,tren a Panamá,tren a Venezuela,tren a Ecuador,estación,aplicar,equipaje,hotel en Brasil,hotel en Perú,hotel en Panamá,hotel en Venezuela,hotel en Ecuador,albergue en Brasil,albergue en Perú,albergue en Panamá,albergue en Venezuela,albergue en Ecuador,tráfico,boleto a,motel en Brasil,motel en Perú,motel en Panamá,motel en Venezuela,motel en Ecuador,conduciendo,tarifa aérea,carreteras,camión,Airbnb,como caminar a,pasaje aérea,precio de billete de avión
2021-01-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,89.0,14.0,0.0,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,62.0,35.0,301.5,4.5,0.0,0.0
2021-02-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,78.0,10.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,49.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,36.0,51.0,270.0,6.0,0.0,0.0
2021-03-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,82.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,19.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,50.0,46.0,204.0,4.0,0.0,0.0
2021-04-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,89.0,10.0,0.0,0.0,0.0,0.5555555555555556,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,70.0,25.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,53.0,50.0,231.0,5.5,0.0,0.0
2021-05-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,85.0,13.0,0.0,0.0,0.0,0.2765957446808511,0.0,0.0,0.0,0.0,0.0,0.0,89.0,29.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,46.0,230.0,10.0,0.0,0.0
2021-06-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,88.0,17.0,0.0,0.0,0.0,0.27419354838709675,0.0,0.0,0.0,0.0,0.0,0.0,64.0,28.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,48.0,43.0,292.5,4.5,0.0,0.0
2021-07-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,90.0,18.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,64.0,27.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,43.0,44.0,236.0,4.0,0.0,0.0
2021-08-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,88.0,17.0,0.0,0.0,0.0,0.5666666666666667,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,85.0,23.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,48.0,48.0,208.0,4.0,0.0,0.0
2021-09-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,88.0,15.0,0.0,0.0,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,40.0,47.0,182.0,3.5,0.0,0.0
2021-10-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,87.0,19.0,0.0,0.0,0.0,0.2753623188405797,0.2753623188405797,0.0,0.0,0.0,0.0,0.0,74.0,28.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,44.0,49.0,342.0,6.0,0.0,0.0
