,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DTM - SUDAN - SITUATION REPORT (5) DATASET,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATES,,STATUS,DISPLACEMENT,,,,,,,,,ORIGIN,,,NATIONALITY (by IDPs individuals),,,SHELTER CATEGORY (by Households),,,,,,,,TOP PRIORITY NEED,RETURN INTENTION
INCIDENT,DATA COLLECTION,(Drop-down List) 1.new location 2.updated with new information 3.updated with same information,"STATE OF DISPLACEMENT
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY OF DISPLACEMENT
 (Drop-down List)",LOCATION OF DISPALCEMENT,Location type (Drop-down List),Location Classification (Drop-down List),IDPs,HHs,"STATE ORIGIN
 (Drop-down List)","LOCALITY ORIGIN
 (Drop-down List)",LOCATION OF ORIGIN,SUDANESE,NON SUDANESE,TOTAL (=IDPs),Camp (formal),In Host Family/Community accommodation,In Rented accomodation (paying rent),In Abandoned buildings/critical shelters/no rent,In schools or other public buildings/no rent,Gathering sites (informal settlements or open area),Unknown,Total (=HHs),(Drop-down List) Emergency shelter/Food/ Non-Food Items/ Health/Nutrition/ WASH,"(Drop-down List) 1. Remain in Same Place, 2. Move to Another Location 3. Return to Location of Origin 4. Unkown"
,,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Alfadleen,Rural,Village,130,26,Khartoum,Khartoum,Khartoum neighbourhoods,130,-,130,-,26,-,-,-,-,-,26,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Alfougara 19 village,Rural,Village,260,52,Khartoum,Jebel Awlia,Jebel Awlia neighbourhoods and villages,260,-,260,-,52,-,-,-,-,-,52,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Algaradaiya Village,Rural,Village,150,30,Khartoum,Um Durman,Um Durman neighbourhoods,150,-,150,-,30,-,-,-,-,-,30,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Aljamousiya,Rural,Village,75,15,Khartoum,Khartoum,Khartoum neighbourhoods,75,-,75,-,15,-,-,-,-,-,15,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Aljebiliya,Rural,Village,50,10,Khartoum,Khartoum,Khartoum neighbourhoods,50,-,50,-,10,-,-,-,-,-,10,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Aljebiliya,Rural,Village,85,17,Khartoum,Um Durman,Um Durman neighbourhoods,85,-,85,-,17,-,-,-,-,-,17,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Alkabour village,Rural,Village,235,47,Khartoum,Jebel Awlia,Jebel Awlia neighbourhoods and villages,235,-,235,-,47,-,-,-,-,-,47,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Alkabour village,Rural,Village,200,40,Khartoum,Um Durman,Um Durman neighbourhoods,200,-,200,-,40,-,-,-,-,-,40,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Alkapule Village,Rural,Village,255,51,Khartoum,Jebel Awlia,Jebel Awlia neighbourhoods and villages,255,-,255,-,51,-,-,-,-,-,51,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Alkapule Village,Rural,Village,150,30,Khartoum,Um Bada,Um Bada neighbourhoods and villages,150,-,150,-,30,-,-,-,-,-,30,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Alkhoulab,Urban,neighbourhood,90,18,Khartoum,Bahri,Bahri Neighbourhoods,90,-,90,-,18,-,-,-,-,-,18,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Alkhoulab,Urban,neighbourhood,60,12,Khartoum,Jebel Awlia,Jebel Awlia neighbourhoods and villages,60,-,60,-,12,-,-,-,-,-,12,Food,1-Remain in same place
