Date,STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,# IDP INDIVIDUALS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
7/9/2023,Northern,SD17,Halfa,SD17014,Alhai Alrabiaa,Urban,Neighbourhood,885,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Northern,SD17,Halfa,SD17014,Hai Alashghal/Abduelaziz Abduelzaher School,Urban,Neighbourhood,1525,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Halfa,SD17014,Hai Alashghal/Abduelaziz Abduelzaher School,Urban,Neighbourhood,1480,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Halfa,SD17014,Hai Alashghal/Abduelaziz Abduelzaher School,Urban,Neighbourhood,1455,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Halfa,SD17014,Hai Alashghal/Abduelaziz Abduelzaher School,Urban,Neighbourhood,1420,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Halfa,SD17014,Hai Alashghal,Urban,Neighbourhood,805,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Halfa,SD17014,Hai Alashghal,Urban,Neighbourhood,775,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Halfa,SD17014,Hai Alashghal,Urban,Neighbourhood,720,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Halfa,SD17014,Hai Alashghal,Urban,Neighbourhood,650,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town/Locality Park,Urban,Neighbourhood,1595,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town/Locality Park,Urban,Neighbourhood,1510,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town/Locality Park,Urban,Neighbourhood,1470,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town/Locality Park,Urban,Neighbourhood,1425,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town Collage Of Eirth & Mine Sciences,Urban,Neighbourhood,1485,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town Collage Of Eirth & Mine Sciences,Urban,Neighbourhood,1415,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town Collage Of Eirth & Mine Sciences,Urban,Neighbourhood,1385,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town Collage Of Eirth & Mine Sciences,Urban,Neighbourhood,1355,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town,Urban,Neighbourhood,580,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town,Urban,Neighbourhood,525,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town,Urban,Neighbourhood,515,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Halfa,SD17014,Halfa Town,Urban,Neighbourhood,480,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Karima Town,Urban,Neighbourhood,680,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Karima Town,Urban,Neighbourhood,720,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Karima Town,Urban,Neighbourhood,690,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Karima Town,Urban,Neighbourhood,675,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Albarkal Town,Urban,Neighbourhood,1165,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Albarkal Town,Urban,Neighbourhood,1115,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Albarkal Town,Urban,Neighbourhood,1070,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Albarkal Town,Urban,Neighbourhood,1020,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,"Mereowe East, Town",Urban,Neighbourhood,1000,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,"Mereowe East, Town",Urban,Neighbourhood,855,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,"Mereowe East, Town",Urban,Neighbourhood,885,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,"Mereowe East, Town",Urban,Neighbourhood,885,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,"Mereowe West, Town",Urban,Neighbourhood,1310,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,"Mereowe West, Town",Urban,Neighbourhood,955,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,"Mereowe West, Town",Urban,Neighbourhood,785,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,"Mereowe West, Town",Urban,Neighbourhood,730,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Alkarra Village,Rural,Village,1290,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Alzuma Village,Rural,Village,890,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Al Gorair,Urban,Neighbourhood,735,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Al Gorair,Urban,Neighbourhood,710,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Al Gorair,Urban,Neighbourhood,660,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Al Gorair,Urban,Neighbourhood,655,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Tangasi,Rural,Village,1790,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Tangasi,Rural,Village,780,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Tangasi,Rural,Village,740,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Tangasi,Rural,Village,680,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Fitnah,Rural,Village,675,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Fitnah,Rural,Village,625,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Fitnah,Rural,Village,600,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Fitnah,Rural,Village,500,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Ad Dubaybah,Rural,Village,740,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Ad Dubaybah,Rural,Village,665,Khartoum,SD01,Jebel Awlia,SD01001
7/9/2023,Northern,SD17,Merwoe,SD17020,Ad Dubaybah,Rural,Village,635,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Ad Dubaybah,Rural,Village,610,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Nouri,Rural,Village,710,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Nouri,Rural,Village,675,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Nouri,Rural,Village,650,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Nouri,Rural,Village,605,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Alarak,Rural,Village,585,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Alarak,Rural,Village,520,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Alarak,Rural,Village,505,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Alarak,Rural,Village,490,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Alhejeir,Rural,Village,610,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Alhejeir,Rural,Village,610,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Aldagaweet,Rural,Village,600,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Aldagaweet,Rural,Village,560,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Alhamdab East,Rural,Village,750,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Alhamdab West,Rural,Village,700,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Abudoom West,Rural,Village,510,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Abudoom West,Rural,Village,520,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Amrei Town,Urban,Neighbourhood,660,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Amrei Town,Urban,Neighbourhood,655,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Amrei Town,Urban,Neighbourhood,650,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Kurti,Rural,Village,725,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Kurti,Rural,Village,630,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Kurti,Rural,Village,625,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Northern,SD17,Merwoe,SD17020,Algariyat,Rural,Village,525,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Algariyat,Rural,Village,485,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Albasa,Rural,Village,550,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Albasa,Rural,Village,530,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Osley,Rural,Village,635,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Northern,SD17,Merwoe,SD17020,Masawi,Rural,Village,505,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Masawi,Rural,Village,495,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Alkasinjar Island,Rural,Village,725,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Alkasinjar Island,Rural,Village,670,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Alkasinjar Island,Rural,Village,630,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Aldoma,Rural,Village,600,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Aldoma,Rural,Village,550,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Magashi,Rural,Village,625,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Magashi,Rural,Village,550,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Albakhit,Rural,Village,520,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Albakhit,Rural,Village,550,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Hezima,Rural,Village,600,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Northern,SD17,Merwoe,SD17020,Hezima,Rural,Village,525,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Almaqal,Rural,Village,570,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Almaqal,Rural,Village,570,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Albursa,Rural,Village,560,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Albursa,Rural,Village,515,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Murra,Rural,Village,535,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Murra,Rural,Village,505,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Alshuhada Au,Rural,Village,825,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Alshuhada Au,Rural,Village,780,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Alshuhada Au,Rural,Village,755,Khartoum,SD01,Bahri,SD01003
7/9/2023,Northern,SD17,Merwoe,SD17020,Alshuhada Au,Rural,Village,725,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Northern,SD17,Merwoe,SD17020,Alsab Alhaow,Rural,Village,530,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Alsab Alhaow,Rural,Village,555,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Alkrafab,Rural,Village,560,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Northern,SD17,Merwoe,SD17020,Alkrafab,Rural,Village,515,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Northern,SD17,Merwoe,SD17020,Albar Umdrik,Rural,Village,530,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Northern,SD17,Merwoe,SD17020,Albar Umdrik,Rural,Village,555,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Khartoum,SD01,Bahri,SD01003,Bahri Neighbourhoods,Urban,Neighbourhood,3215,Khartoum,SD01,Bahri,SD01003
7/9/2023,Khartoum,SD01,Bahri,SD01003,Bahri Neighbourhoods,Urban,Neighbourhood,200,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Khartoum,SD01,Jebel Awlia,SD01001,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,2250,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Khartoum,SD01,Jebel Awlia,SD01001,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,280,Khartoum,SD01,Bahri,SD01003
7/9/2023,Khartoum,SD01,Jebel Awlia,SD01001,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,585,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Khartoum,SD01,Jebel Awlia,SD01001,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,2680,Khartoum,SD01,Jebel Awlia,SD01001
7/9/2023,Khartoum,SD01,Jebel Awlia,SD01001,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,860,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Khartoum,SD01,Karrari,SD01005,Karrari Neighbourhoods,Urban,Neighbourhood,4760,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Khartoum,SD01,Karrari,SD01005,Karrari Neighbourhoods,Urban,Neighbourhood,1750,Khartoum,SD01,Bahri,SD01003
7/9/2023,Khartoum,SD01,Karrari,SD01005,Karrari Neighbourhoods,Urban,Neighbourhood,1045,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Khartoum,SD01,Karrari,SD01005,Karrari Neighbourhoods,Urban,Neighbourhood,350,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Khartoum,SD01,Karrari,SD01005,Karrari Neighbourhoods,Urban,Neighbourhood,250,Khartoum,SD01,Um Bada,SD01002
7/9/2023,Khartoum,SD01,Khartoum,SD01007,Khartoum Neighbourhoods,Urban,Neighbourhood,1750,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Khartoum,SD01,Khartoum,SD01007,Khartoum Neighbourhoods,Urban,Neighbourhood,400,Khartoum,SD01,Bahri,SD01003
7/9/2023,Khartoum,SD01,Khartoum,SD01007,Khartoum Neighbourhoods,Urban,Neighbourhood,1000,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Khartoum,SD01,Sharg An Neel,SD01004,Sharg An Neel Neighbourhoods,Urban,Neighbourhood,350,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Khartoum,SD01,Sharg An Neel,SD01004,Sharg An Neel Neighbourhoods,Urban,Neighbourhood,4505,Khartoum,SD01,Bahri,SD01003
7/9/2023,Khartoum,SD01,Sharg An Neel,SD01004,Sharg An Neel Neighbourhoods,Urban,Neighbourhood,150,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Khartoum,SD01,Sharg An Neel,SD01004,Sharg An Neel Neighbourhoods,Urban,Neighbourhood,1750,Khartoum,SD01,Jebel Awlia,SD01001
7/9/2023,Khartoum,SD01,Sharg An Neel,SD01004,Sharg An Neel Neighbourhoods,Urban,Neighbourhood,1200,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Khartoum,SD01,Um Bada,SD01002,Um Bada Neighbourhoods,Urban,Neighbourhood,1820,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Khartoum,SD01,Um Bada,SD01002,Um Bada Neighbourhoods,Urban,Neighbourhood,750,Khartoum,SD01,Bahri,SD01003
7/9/2023,Khartoum,SD01,Um Bada,SD01002,Um Bada Neighbourhoods,Urban,Neighbourhood,600,Khartoum,SD01,Um Durman,SD01006
7/9/2023,Khartoum,SD01,Um Durman,SD01006,Um Durman Neighbourhoods,Urban,Neighbourhood,1500,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Khartoum,SD01,Um Durman,SD01006,Um Durman Neighbourhoods,Urban,Neighbourhood,1820,Khartoum,SD01,Bahri,SD01003
7/9/2023,Khartoum,SD01,Um Durman,SD01006,Um Durman Neighbourhoods,Urban,Neighbourhood,250,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hai Al Matar,Urban,Neighbourhood,2600,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hai Alshahinat,Urban,Neighbourhood,50,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hai Almerqanya,Urban,Neighbourhood,1000,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hai Wahda,Urban,Neighbourhood,300,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hai Alinqaz,Urban,Neighbourhood,150,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Daim Alnoor,Urban,Neighbourhood,1150,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Althoura,Urban,Neighbourhood,2500,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Habila,Urban,Neighbourhood,600,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Alsadaga,Urban,Neighbourhood,500,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Daim Alnaeam,Urban,Neighbourhood,1440,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Daim Sawakin,Urban,Neighbourhood,955,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Dar Alsalamat,Urban,Neighbourhood,1750,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Eshwai Bagdad,Urban,Neighbourhood,670,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Salboi,Urban,Neighbourhood,1550,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hadl,Urban,Neighbourhood,1905,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hai Alkhalig,Urban,Neighbourhood,1525,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hanish,Urban,Neighbourhood,2000,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Daim Qarb,Urban,Neighbourhood,2100,Khartoum,SD01,Khartoum,SD01007
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Daim Mayo,Urban,Neighbourhood,250,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Koria Alshagra,Urban,Neighbourhood,500,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Aljanayn,Urban,Neighbourhood,365,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Walea,Urban,Neighbourhood,1240,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Daim Arab,Urban,Neighbourhood,500,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hai Alskan,Urban,Neighbourhood,1145,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Alkhatmia,Urban,Neighbourhood,495,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Salalab,Urban,Neighbourhood,3000,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Hai Alsoug,Urban,Neighbourhood,2500,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Transit,Urban,Neighbourhood,1165,Khartoum,SD01,Bahri,SD01003
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Youth House,Urban,Neighbourhood,110,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Salamt Elbai South,Urban,Neighbourhood,315,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Old High School,Urban,Neighbourhood,530,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,El Mohipa And El Tamouz School,Urban,Neighbourhood,50,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Youth Dim Alnoor,Urban,Neighbourhood,35,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Haj Elhassan Insstiute,Urban,Neighbourhood,55,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Omer Bin Abdul Aziza,Urban,Neighbourhood,270,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Alslambi Sccondary School,Urban,Neighbourhood,430,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Dongola Primary School,Urban,Neighbourhood,175,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Um Al Momneen Girl School,Urban,Neighbourhood,250,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Nazir School Boys,Urban,Neighbourhood,245,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Borno School,Urban,Neighbourhood,195,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Ginaina School,Urban,Neighbourhood,80,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Comboni School,Urban,Neighbourhood,70,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Wahda,Urban,Neighbourhood,55,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,October,Urban,Neighbourhood,445,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Mutamar 1,Urban,Neighbourhood,140,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Motamamr 2,Urban,Neighbourhood,160,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Mufargaat,Urban,Neighbourhood,275,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Nazir School Girls,Urban,Neighbourhood,75,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Meddan School,Urban,Neighbourhood,175,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Shabia,Urban,Neighbourhood,60,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Al Bugaa,Urban,Neighbourhood,195,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Karar School,Urban,Neighbourhood,50,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,Hai Almerqanya,Urban,Neighbourhood,135,Khartoum,SD01,Sharg An Neel,SD01004
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Moaque Engineering College,Urban,Neighbourhood,100,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Teacher School,Urban,Neighbourhood,50,Khartoum,SD01,Bahri,SD01003
7/9/2023,Red Sea,SD10,Port Sudan,SD10064,Dar Abna Alshmal (Port Sudan Town),Urban,Neighbourhood,1500,Khartoum,SD01,Khartoum,SD01007
