Date,STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,# IDP INDIVIDUALS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
4/28/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,,,,200,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,,,,100,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,,,,25,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,200,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,50,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,50,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,50,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,100,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,25,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,25,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,25,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,50,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
