,,,,,,,,,,,,PLACE OF ORIGIN,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,AREA NOT UNDER THE CONTROL OF THE GOVERNMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/CRITICAL SHELTERS/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02117,Al Malha,Al Malha Town,No,Urban,Neighbourhood,"2,500",500,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"2,500",0,2500,0,500,0,0,0,0,0,500,Food,Return to location of origin
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02133,Saraf Omra,Saraf Omer Town,No,Urban,Neighbourhood,"4,000",800,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,"4,000",0,4000,0,800,0,0,0,0,0,800,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Mundodoro,No,Rural,Village,450,90,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,450,0,450,0,90,0,0,0,0,0,90,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Wastani,No,Rural,Village,"1,000",200,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,"1,000",0,1000,0,200,0,0,0,0,0,200,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Al Hasahoissa,No,Rural,Village,300,60,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,300,0,300,0,60,0,0,0,0,0,60,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Kelmi,No,Rural,Village,750,150,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,750,0,750,0,150,0,0,0,0,0,150,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Dar As Salam,No,Rural,Village,300,60,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,300,0,300,0,60,0,0,0,0,0,60,Food,Remain in same place
15/04/2023,21/06/2023,New Location,North Darfur,SD02,SD02126,Kelemando,Kelemando Town,No,Urban,Neighbourhood,900,180,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,900,0,900,0,180,0,0,0,0,0,180,Food,Remain in same place
15/04/2023,21/06/2023,New Location,North Darfur,SD02,SD02126,Kelemando,Ghosa Jamad,No,Rural,Village,"1,240",248,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"1,240",0,1240,0,248,0,0,0,0,0,248,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Abudilek,No,Rural,Village,135,27,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,135,0,135,0,27,0,0,0,0,0,27,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Wada Shamal,No,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,75,0,75,0,15,0,0,0,0,0,15,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Bahri Um Dorman,No,Rural,Village,60,12,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,60,0,60,0,12,0,0,0,0,0,12,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Eid Algideam,No,Rural,Village,45,9,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,45,0,45,0,9,0,0,0,0,0,9,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Um Dam,No,Rural,Village,150,30,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,150,0,150,0,30,0,0,0,0,0,30,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02126,Kelemando,Sani Karow,No,Rural,Village,900,180,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,900,0,900,0,180,0,0,0,0,0,180,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02126,Kelemando,Aldeka,No,Rural,Village,225,45,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,225,0,225,0,45,0,0,0,0,0,45,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02126,Kelemando,Um Beteen,No,Rural,Village,525,105,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,525,0,525,0,105,0,0,0,0,0,105,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Eid Albaida,No,Rural,Village,90,18,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,90,0,90,0,18,0,0,0,0,0,18,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02119,At Tawisha,At Tewisha Town,No,Urban,Neighbourhood,350,70,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,350,0,350,0,70,0,0,0,0,0,70,Food,Remain in same place
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02169,Al Lait,Al Lait Town,No,Urban,Neighbourhood,690,138,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,690,0,690,0,138,0,0,0,0,0,138,Food,Remain in same place
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02169,Al Lait,Al Lait Town,No,Urban,Neighbourhood,"1,290",258,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,"1,290",0,1290,0,258,0,0,0,0,0,258,Food,Remain in same place
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02169,Al Lait,Al Lait Town,No,Urban,Neighbourhood,95,19,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,95,0,95,0,19,0,0,0,0,0,19,Food,Remain in same place
