INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION,SHELTER CATEGORY: IN IMPROVISED SHELTERS,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS,SHELTER CATEGORY: OPEN AREA GATHERING SITES,SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alshamali,Urban,Neighbourhood,66,14,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,66,0,66,0,14,0,0,0,0,0,14,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Albalk,Urban,Neighbourhood,85,16,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,85,0,85,0,16,0,0,0,0,0,16,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Algadid,Urban,Neighbourhood,120,23,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,120,0,120,0,23,0,0,0,0,0,23,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alshbab,Urban,Neighbourhood,130,23,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,130,0,130,0,23,0,0,0,0,0,23,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alshigelab,Urban,Neighbourhood,93,19,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,93,0,93,0,19,0,0,0,0,0,19,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alrkabia,Urban,Neighbourhood,173,34,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,173,0,173,0,34,0,0,0,0,0,34,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alradif,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,100,0,100,0,20,0,0,0,0,0,20,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Al Nour Sharg,Urban,Neighbourhood,65,13,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,65,0,65,0,13,0,0,0,0,0,13,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Al Nour Gharb,Urban,Neighbourhood,133,27,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,133,0,133,0,27,0,0,0,0,0,27,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Al Nour Wasat,Urban,Neighbourhood,73,14,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,73,0,73,0,14,0,0,0,0,0,14,Food,Return to location of origin
