INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,Origin GPS Longitude,Origin GPS Latitude,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: With Host Community,SHELTER CATEGORY: In Rented accomodation (paying rent),SHELTER CATEGORY: In Abandoned buildings/critical shelters/no rent,SHELTER CATEGORY: In schools or other public buildings/no rent,SHELTER CATEGORY: Gathering sites (informal settlements or open area),SHELTER CATEGORY: Unknown,TOP PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Endraba,Urban,Neighbourhood,167,35,Khartoum,SD01,SD01002,Um Bada,,,,167,0,167,0,35,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Faria,Urban,Neighbourhood,143,28,Khartoum,SD01,SD01002,Um Bada,,,,143,0,143,0,28,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Hi Al Soag,Urban,Neighbourhood,139,29,Khartoum,SD01,SD01002,Um Bada,,,,139,0,139,0,29,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Hai Albarka,Urban,Neighbourhood,184,28,Khartoum,SD01,SD01006,Um Durman,,,,184,0,184,0,28,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Al Awsat,Urban,Neighbourhood,74,11,Khartoum,SD01,SD01006,Um Durman,,,,74,0,74,0,11,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Hai Alshaik,Urban,Neighbourhood,37,7,Khartoum,SD01,SD01006,Um Durman,,,,37,0,37,0,7,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13029,Gharb Bara,Hai Abu Aloan,Urban,Neighbourhood,53,6,Khartoum,SD01,SD01007,Khartoum,,,,53,0,53,0,6,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Um Kraidm,Urban,Neighbourhood,172,26,Khartoum,SD01,SD01006,Um Durman,,,,172,0,172,0,26,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Alsata,Rural,Village,260,52,Khartoum,SD01,SD01006,Um Durman,,,,260,0,260,0,52,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Albashiri,Rural,Village,70,13,Khartoum,SD01,SD01006,Um Durman,,,,70,0,70,0,13,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Shaboga,Rural,Village,77,14,Khartoum,SD01,SD01007,Khartoum,,,,77,0,77,0,14,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Al Gadir,Rural,Village,154,32,Khartoum,SD01,SD01006,Um Durman,,,,154,0,154,0,32,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Al Songd,Rural,Village,47,9,Khartoum,SD01,SD01006,Um Durman,,,,47,0,47,0,9,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Um Sadon,Rural,Village,304,50,Khartoum,SD01,SD01006,Um Durman,,,,304,0,304,0,50,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Haj Alin,Rural,Village,405,66,Khartoum,SD01,SD01006,Um Durman,,,,405,0,405,0,66,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13029,Gharb Bara,Alsharif Aljad,Rural,Village,128,18,Khartoum,SD01,SD01007,Khartoum,,,,128,0,128,0,18,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Alsharif Aljad,Rural,Village,113,15,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,113,0,113,0,15,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Haj Alin,Rural,Village,350,70,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,350,0,350,0,70,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13029,Gharb Bara,Um Gafla,Rural,Village,106,15,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,106,0,106,0,15,0,0,0,0,0,Food,3-Return to location of origin
