,,,,,,,,,,,,PLACE OF ORIGIN,,,,,NATIONALITIES,,,SHELTER CATEGORY,,,,,,,,TOP PRIORITY NEED,RETURN INTENTIONS
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/Improvised Shelters/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,,
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02129,Melit,Sayah,Rural,Village,145,29,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,145,0,145,0,29,0,0,0,0,0,29,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Saraf Omer Town,Urban,Neighbourhood,1000,200,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,1000,0,1000,0,200,0,0,0,0,0,200,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Mundodoro,Rural,Village,450,90,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,450,0,450,0,90,0,0,0,0,0,90,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Wastani,Rural,Village,1000,200,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,1000,0,1000,0,200,0,0,0,0,0,200,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Al Hasahoissa,Rural,Village,300,60,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,300,0,300,0,60,0,0,0,0,0,60,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Kelmi,Rural,Village,750,150,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,750,0,750,0,150,0,0,0,0,0,150,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Dar As Salam,Rural,Village,300,60,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,300,0,300,0,60,0,0,0,0,0,60,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02136,Um Kadadah,Um Kedadah Town,Urban,Neighbourhood,600,120,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,600,0,600,0,120,0,0,0,0,0,120,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02169,Al lait,Al Lait Town,Urban,Neighbourhood,690,138,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,690,0,690,0,138,0,0,0,0,0,138,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02169,Al lait,Al Lait Town,Urban,Neighbourhood,1290,258,Khartoum,SD01,SD01007,Khartoum,Khartoum,1290,0,1290,0,258,0,0,0,0,0,258,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02169,Al lait,Al Lait Town,Urban,Neighbourhood,95,19,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,95,0,95,0,19,0,0,0,0,0,19,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02170,Tawila,Tawila IDP Camps,Rural,Camp,3235,647,North Darfur,SD02,SD02170,Tawila,Tarni,3235,0,3235,647,0,0,0,0,0,0,647,Food,Return to location of origin
