,,,,,,,,,,,,PLACE OF ORIGIN,,,,,NATIONALITIES,,,SHELTER CATEGORY,,,,,,,,TOP PRIORITY NEED,RETURN INTENTIONS
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/Improvised Shelters/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,,
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Grenti,Rural,Village,150,30,Khartoum,SD01,SD01003,Bahri,,150,0,150,0,30,0,0,0,0,0,30,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Albashariya,Rural,Village,180,36,Khartoum,SD01,SD01003,Bahri,,180,0,180,0,36,0,0,0,0,0,36,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Albashariya,Rural,Village,120,24,Khartoum,SD01,SD01004,Sharg An Neel,,120,0,120,0,24,0,0,0,0,0,24,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Dabla,Rural,Village,190,38,Khartoum,SD01,SD01006,Um Durman,,190,0,190,0,38,0,0,0,0,0,38,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Dabla,Rural,Village,110,22,Khartoum,SD01,SD01004,Sharg An Neel,,110,0,110,0,22,0,0,0,0,0,22,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Artijasha Aljazira,Rural,Village,195,39,Khartoum,SD01,SD01007,Khartoum,,195,0,195,0,39,0,0,0,0,0,39,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Artijasha Aljazira,Rural,Village,105,21,Khartoum,SD01,SD01003,Bahri,,105,0,105,0,21,0,0,0,0,0,21,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Arijasha Sharig,Rural,Village,300,60,Khartoum,SD01,SD01006,Um Durman,,300,0,300,0,60,0,0,0,0,0,60,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Arijasha Sharig,Rural,Village,250,50,Khartoum,SD01,SD01004,Sharg An Neel,,250,0,250,0,50,0,0,0,0,0,50,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Arijasha Sharig,Rural,Village,200,40,Khartoum,SD01,SD01007,Khartoum,,200,0,200,0,40,0,0,0,0,0,40,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Argo Alshargiya,Rural,Village,175,35,Khartoum,SD01,SD01003,Bahri,,175,0,175,0,35,0,0,0,0,0,35,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Argo Alshargiya,Rural,Village,125,25,Khartoum,SD01,SD01007,Khartoum,,125,0,125,0,25,0,0,0,0,0,25,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Abu Hujar,Rural,Village,170,34,Khartoum,SD01,SD01007,Khartoum,,170,0,170,0,34,0,0,0,0,0,34,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Abu Hujar,Rural,Village,130,26,Khartoum,SD01,SD01003,Bahri,,130,0,130,0,26,0,0,0,0,0,26,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Jazirtat Musnarti,Rural,Village,165,33,Khartoum,SD01,SD01007,Khartoum,,165,0,165,0,33,0,0,0,0,0,33,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Jazirtat Musnarti,Rural,Village,135,27,Khartoum,SD01,SD01006,Um Durman,,135,0,135,0,27,0,0,0,0,0,27,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Argo Hai Alneel,Rural,Village,160,32,Khartoum,SD01,SD01007,Khartoum,,160,0,160,0,32,0,0,0,0,0,32,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Alhai Alawsat,Urban,Neighbourhood,200,40,Khartoum,SD01,SD01007,Khartoum,,200,0,200,0,40,0,0,0,0,0,40,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Alhai Alawsat,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01003,Bahri,,100,0,100,0,20,0,0,0,0,0,20,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Argo Algarbiya,Rural,Village,205,41,Khartoum,SD01,SD01003,Bahri,,205,0,205,0,41,0,0,0,0,0,41,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Argo Algarbiya,Rural,Village,95,19,Khartoum,SD01,SD01006,Um Durman,,95,0,95,0,19,0,0,0,0,0,19,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Kudi Shamal,Rural,Village,210,42,Khartoum,SD01,SD01006,Um Durman,,210,0,210,0,42,0,0,0,0,0,42,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Kudi Shamal,Rural,Village,200,40,Khartoum,SD01,SD01004,Sharg An Neel,,200,0,200,0,40,0,0,0,0,0,40,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Dar Alawad Janoub,Rural,Village,170,34,Khartoum,SD01,SD01007,Khartoum,,170,0,170,0,34,0,0,0,0,0,34,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Dar Alawad Janoub,Rural,Village,130,26,Khartoum,SD01,SD01006,Um Durman,,130,0,130,0,26,0,0,0,0,0,26,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Murowati Garib,Rural,Village,150,30,Khartoum,SD01,SD01003,Bahri,,150,0,150,0,30,0,0,0,0,0,30,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Murowati Garib,Rural,Village,145,29,Khartoum,SD01,SD01004,Sharg An Neel,,145,0,145,0,29,0,0,0,0,0,29,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Abata Sharig,Rural,Village,170,34,Khartoum,SD01,SD01006,Um Durman,,170,0,170,0,34,0,0,0,0,0,34,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Abata Sharig,Rural,Village,125,25,Khartoum,SD01,SD01003,Bahri,,125,0,125,0,25,0,0,0,0,0,25,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Sagdan Sharig,Rural,Village,255,51,Khartoum,SD01,SD01006,Um Durman,,255,0,255,0,51,0,0,0,0,0,51,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Sagdan Sharig,Rural,Village,220,44,Khartoum,SD01,SD01004,Sharg An Neel,,220,0,220,0,44,0,0,0,0,0,44,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Sagdan Sharig,Rural,Village,165,33,Khartoum,SD01,SD01007,Khartoum,,165,0,165,0,33,0,0,0,0,0,33,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Karma Shamal,Rural,Village,335,67,Khartoum,SD01,SD01007,Khartoum,,335,0,335,0,67,0,0,0,0,0,67,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Karma Shamal,Rural,Village,290,58,Khartoum,SD01,SD01006,Um Durman,,290,0,290,0,58,0,0,0,0,0,58,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Karma Shamal,Rural,Village,250,50,Khartoum,SD01,SD01003,Bahri,,250,0,250,0,50,0,0,0,0,0,50,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Alhara Alowla,Urban,Neighbourhood,150,30,Khartoum,SD01,SD01007,Khartoum,,150,0,150,0,30,0,0,0,0,0,30,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Alhara Alowla,Urban,Neighbourhood,150,30,Khartoum,SD01,SD01006,Um Durman,,150,0,150,0,30,0,0,0,0,0,30,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Alhara Althaniya,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01003,Bahri,,75,0,75,0,15,0,0,0,0,0,15,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Alhara Althaltha,Urban,Neighbourhood,110,22,Khartoum,SD01,SD01004,Sharg An Neel,,110,0,110,0,22,0,0,0,0,0,22,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Alhara Alrabah,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,20,0,0,0,0,0,20,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Dagarti Badeen,Rural,Village,175,35,Khartoum,SD01,SD01007,Khartoum,,175,0,175,0,35,0,0,0,0,0,35,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Dagarti Badeen,Rural,Village,125,25,Khartoum,SD01,SD01006,Um Durman,,125,0,125,0,25,0,0,0,0,0,25,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Aldafofa Shamal,Rural,Village,100,20,Khartoum,SD01,SD01003,Bahri,,100,0,100,0,20,0,0,0,0,0,20,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Northern,SD17,SD17016,Al Burgaig,Alsalam Village,Rural,Village,75,15,Khartoum,SD01,SD01004,Sharg An Neel,,75,0,75,0,15,0,0,0,0,0,15,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Northern,SD17,SD17017,Dongola,Hai Alsoug /Almualim Hotel,Urban,Neighbourhood,250,250,Khartoum,SD01,SD01007,Khartoum,,0,250,250,0,0,250,0,0,0,0,250,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Northern,SD17,SD17017,Dongola,Hai Alsoug/ Algaser Hotel,Urban,Neighbourhood,45,45,Khartoum,SD01,SD01007,Khartoum,,0,45,45,0,0,45,0,0,0,0,45,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Northern,SD17,SD17017,Dongola,Hai Alsoug/ Rental Houses,Urban,Neighbourhood,400,400,Khartoum,SD01,SD01003,Bahri,,0,400,400,0,0,400,0,0,0,0,400,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Alemtidat,Urban,Neighbourhood,885,177,Khartoum,SD01,SD01007,Khartoum,,885,0,885,0,93,84,0,0,0,0,177,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Alemtidat,Urban,Neighbourhood,830,166,Khartoum,SD01,SD01003,Bahri,,830,0,830,0,83,83,0,0,0,0,166,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Alnasr,Urban,Neighbourhood,855,171,Khartoum,SD01,SD01007,Khartoum,,855,0,855,0,85,86,0,0,0,0,171,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Alnasr,Urban,Neighbourhood,825,165,Khartoum,SD01,SD01003,Bahri,,825,0,825,0,85,80,0,0,0,0,165,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Aldaraja Alowla,Urban,Neighbourhood,960,192,Khartoum,SD01,SD01006,Um Durman,,960,0,960,0,102,90,0,0,0,0,192,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Aldaraja Alowla,Urban,Neighbourhood,900,180,Khartoum,SD01,SD01002,Um Bada,,900,0,900,0,90,90,0,0,0,0,180,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Aldaraja Althania,Urban,Neighbourhood,905,181,Khartoum,SD01,SD01007,Khartoum,,905,0,905,0,95,86,0,0,0,0,181,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Aldaraja Althania,Urban,Neighbourhood,875,175,Khartoum,SD01,SD01003,Bahri,,875,0,875,0,88,87,0,0,0,0,175,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Aldaraja Althaltha,Urban,Neighbourhood,975,195,Khartoum,SD01,SD01006,Um Durman,,975,0,975,0,101,94,0,0,0,0,195,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Aldaraja Althaltha,Urban,Neighbourhood,965,193,Khartoum,SD01,SD01007,Khartoum,,965,0,965,0,103,90,0,0,0,0,193,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Aldaraja Althaltha,Urban,Neighbourhood,915,183,Khartoum,SD01,SD01003,Bahri,,915,0,915,0,92,91,0,0,0,0,183,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Aldaraja Althaltha,Urban,Neighbourhood,835,167,Khartoum,SD01,SD01002,Um Bada,,835,0,835,0,90,77,0,0,0,0,167,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Artidi/ Terhagah Park Hotel,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01007,Khartoum,,0,125,125,0,0,25,0,0,0,0,25,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Artidei/ Alzahra School,Urban,Neighbourhood,550,110,Khartoum,SD01,SD01006,Um Durman,,550,0,550,0,0,0,0,110,0,0,110,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Artidei/ Alzahra School,Urban,Neighbourhood,385,77,Khartoum,SD01,SD01002,Um Bada,,385,0,385,0,0,0,0,77,0,0,77,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Artidei/ Alzahra School,Urban,Neighbourhood,315,63,Khartoum,SD01,SD01004,Sharg An Neel,,315,0,315,0,0,0,0,63,0,0,63,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Artidei,Urban,Neighbourhood,840,168,Khartoum,SD01,SD01003,Bahri,,840,0,840,0,88,80,0,0,0,0,168,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Artidei,Urban,Neighbourhood,815,163,Khartoum,SD01,SD01007,Khartoum,,815,0,815,0,82,81,0,0,0,0,163,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Agajah,Urban,Neighbourhood,795,159,Khartoum,SD01,SD01006,Um Durman,,795,0,795,0,80,79,0,0,0,0,159,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Labab Sharig,Rural,Village,890,178,Khartoum,SD01,SD01007,Khartoum,,890,0,890,0,178,0,0,0,0,0,178,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Labab Sharig,Rural,Village,870,174,Khartoum,SD01,SD01003,Bahri,,870,0,870,0,174,0,0,0,0,0,174,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Labab Sharig,Rural,Village,825,165,Khartoum,SD01,SD01006,Um Durman,,825,0,825,0,165,0,0,0,0,0,165,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Labab Garib,Rural,Village,975,195,Khartoum,SD01,SD01003,Bahri,,975,0,975,0,195,0,0,0,0,0,195,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Labab Garib,Rural,Village,895,179,Khartoum,SD01,SD01007,Khartoum,,895,0,895,0,179,0,0,0,0,0,179,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Labab Garib,Rural,Village,835,167,Khartoum,SD01,SD01002,Um Bada,,835,0,835,0,167,0,0,0,0,0,167,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Wad Nemiry,Rural,Village,825,165,Khartoum,SD01,SD01007,Khartoum,,825,0,825,0,165,0,0,0,0,0,165,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Wad Nemiry,Rural,Village,770,154,Khartoum,SD01,SD01003,Bahri,,770,0,770,0,154,0,0,0,0,0,154,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Sartoot Village,Rural,Village,775,155,Khartoum,SD01,SD01007,Khartoum,,775,0,775,0,155,0,0,0,0,0,155,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Sartoot Village,Rural,Village,910,182,Khartoum,SD01,SD01006,Um Durman,,910,0,910,0,182,0,0,0,0,0,182,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Sartoot Village,Rural,Village,820,164,Khartoum,SD01,SD01003,Bahri,,820,0,820,0,164,0,0,0,0,0,164,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Sheikh Alshareif,Rural,Village,870,174,Khartoum,SD01,SD01006,Um Durman,,870,0,870,0,174,0,0,0,0,0,174,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Sheikh Alshareif,Rural,Village,855,171,Khartoum,SD01,SD01002,Um Bada,,855,0,855,0,171,0,0,0,0,0,171,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Alkhanakh Village,Rural,Village,865,173,Khartoum,SD01,SD01007,Khartoum,,865,0,865,0,173,0,0,0,0,0,173,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Alkhanakh Village,Rural,Village,805,161,Khartoum,SD01,SD01006,Um Durman,,805,0,805,0,161,0,0,0,0,0,161,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Alkhanakh Village,Rural,Village,795,159,Khartoum,SD01,SD01004,Sharg An Neel,,795,0,795,0,159,0,0,0,0,0,159,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Alhila Aljadida,Rural,Village,810,162,Khartoum,SD01,SD01006,Um Durman,,810,0,810,0,162,0,0,0,0,0,162,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Alhila Aljadida,Rural,Village,800,160,Khartoum,SD01,SD01002,Um Bada,,800,0,800,0,160,0,0,0,0,0,160,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Kabitot,Urban,Neighbourhood,770,154,Khartoum,SD01,SD01007,Khartoum,,770,0,770,0,78,76,0,0,0,0,154,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Kabitot,Urban,Neighbourhood,745,149,Khartoum,SD01,SD01003,Bahri,,745,0,745,0,75,74,0,0,0,0,149,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hai Jaradah,Urban,Neighbourhood,785,157,Khartoum,SD01,SD01004,Sharg An Neel,,785,0,785,0,80,77,0,0,0,0,157,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Alzourat Village,Rural,Village,895,179,Khartoum,SD01,SD01001,Jebel Awlia,,895,0,895,0,179,0,0,0,0,0,179,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Danaa Viillage,Rural,Village,810,162,Khartoum,SD01,SD01007,Khartoum,,810,0,810,0,162,0,0,0,0,0,162,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Danaa Viillage,Rural,Village,795,159,Khartoum,SD01,SD01003,Bahri,,795,0,795,0,159,0,0,0,0,0,159,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hafeer Mashoo Village,Rural,Village,920,184,Khartoum,SD01,SD01006,Um Durman,,920,0,920,0,184,0,0,0,0,0,184,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hafeer Mashoo Village,Rural,Village,900,180,Khartoum,SD01,SD01002,Um Bada,,900,0,900,0,180,0,0,0,0,0,180,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Hafeer Mashoo Village,Rural,Village,945,189,Khartoum,SD01,SD01004,Sharg An Neel,,945,0,945,0,189,0,0,0,0,0,189,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Akaad Village,Rural,Village,925,185,Khartoum,SD01,SD01001,Jebel Awlia,,925,0,925,0,185,0,0,0,0,0,185,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Alseer Village,Rural,Village,915,183,Khartoum,SD01,SD01007,Khartoum,,915,0,915,0,183,0,0,0,0,0,183,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Alseer Village,Rural,Village,840,168,Khartoum,SD01,SD01006,Um Durman,,840,0,840,0,168,0,0,0,0,0,168,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Eimani Village,Rural,Village,940,188,Khartoum,SD01,SD01002,Um Bada,,940,0,940,0,188,0,0,0,0,0,188,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Kaltos Village,Rural,Village,895,179,Khartoum,SD01,SD01007,Khartoum,,895,0,895,0,179,0,0,0,0,0,179,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17017,Dongola,Alhamag Village,Rural,Village,815,163,Khartoum,SD01,SD01004,Sharg An Neel,,815,0,815,0,163,0,0,0,0,0,163,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Algolid Gebly,Rural,Village,625,125,Khartoum,SD01,SD01006,Um Durman,,625,0,625,0,125,0,0,0,0,0,125,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Algolid Gebly,Rural,Village,580,116,Khartoum,SD01,SD01007,Khartoum,,580,0,580,0,116,0,0,0,0,0,116,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Algolid Gebly,Rural,Village,540,108,Khartoum,SD01,SD01003,Bahri,,540,0,540,0,108,0,0,0,0,0,108,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Algolid Gebly,Rural,Village,485,97,Khartoum,SD01,SD01002,Um Bada,,485,0,485,0,97,0,0,0,0,0,97,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Algolid Bahri,Rural,Village,535,107,Khartoum,SD01,SD01004,Sharg An Neel,,535,0,535,0,107,0,0,0,0,0,107,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Algolid Bahri,Rural,Village,490,98,Khartoum,SD01,SD01006,Um Durman,,490,0,490,0,98,0,0,0,0,0,98,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Algolid Bahri,Rural,Village,435,87,Khartoum,SD01,SD01003,Bahri,,435,0,435,0,87,0,0,0,0,0,87,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Shabanah Gebly,Rural,Village,500,100,Khartoum,SD01,SD01007,Khartoum,,500,0,500,0,100,0,0,0,0,0,100,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Shabanah Gebly,Rural,Village,445,89,Khartoum,SD01,SD01003,Bahri,,445,0,445,0,89,0,0,0,0,0,89,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Shabanah Gebly,Rural,Village,420,84,Khartoum,SD01,SD01006,Um Durman,,420,0,420,0,84,0,0,0,0,0,84,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Shabanah Bahri,Rural,Village,470,94,Khartoum,SD01,SD01003,Bahri,,470,0,470,0,94,0,0,0,0,0,94,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Shabanah Bahri,Rural,Village,440,88,Khartoum,SD01,SD01007,Khartoum,,440,0,440,0,88,0,0,0,0,0,88,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Shabanah Bahri,Rural,Village,410,82,Khartoum,SD01,SD01004,Sharg An Neel,,410,0,410,0,82,0,0,0,0,0,82,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Hai Dar Elsalam,Urban,Neighbourhood,490,98,Khartoum,SD01,SD01007,Khartoum,,490,0,490,0,98,0,0,0,0,0,98,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Northern,SD17,SD17018,Al Golid,Hai Dar Elsalam,Urban,Neighbourhood,465,93,Khartoum,SD01,SD01003,Bahri,,465,0,465,0,50,43,0,0,0,0,93,Food,Return to location of origin
