,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,status,PREVIOUS REPORT IDP,PREVIOUS REPORT HH,Difference IDPs,Difference HH,OK CHECK,"STATE OF DISPLACEMENT
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY OF DISPLACEMENT
 (Drop-down List)",LOCATION OF DISPALCEMENT,Location type (Drop-down List),Location Classification (Drop-down List),IDPs,HHs,"STATE ORIGIN
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY ORIGIN
 (Drop-down List)",LOCATION OF ORIGIN,SUDANESE,NON SUDANESE,TOTAL (=IDPs),VALIDATION,Camp (formal),In Host Family/Community accommodation,In Rented accomodation (paying rent),In Abandoned buildings/critical shelters/no rent,In schools or other public buildings/no rent,Gathering sites (informal settlements or open area),Unknown,Total (=HHs),VALIDATION,priority need,return Intention
,,,,,,,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,,
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03161,Buram,Buram Town,Urban,Neighbourhood,"4,000",800,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"4,000",-,"4,000",TRUE,-,800,-,-,-,-,-,800,TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03156,As Sunta,As Sunta Town,Urban,Neighbourhood,"3,000",600,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"3,000",-,"3,000",TRUE,-,600,-,-,-,-,-,600,TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03158,Rehaid Albirdi,Rehaid Albardi Town,Urban,Neighbourhood,"2,000",400,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"2,000",-,"2,000",TRUE,-,400,-,-,-,-,-,400,TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03150,Al Wihda,Malam,Urban,Neighbourhood,"7,000","1,400",South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"7,000",-,"7,000",TRUE,-,"1,400",-,-,-,-,-,"1,400",TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03166,As Salam - SD,Nitiga,Rural,Village,"3,000",600,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"3,000",-,"3,000",TRUE,-,600,-,-,-,-,-,600,TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03166,As Salam - SD,Abu Agura,Rural,Village,"2,500",500,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"2,500",-,"2,500",TRUE,-,500,-,-,-,-,-,500,TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03162,Beliel,Um Guina,Rural,Village,"1,000",200,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"1,000",-,"1,000",TRUE,-,200,-,-,-,-,-,200,TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,East Darfur,SD05,SD05142,Ad Du'ayn,Al Du'ayn Town,Urban,Neighbourhood,"4,080",816,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"4,080",-,"4,080",TRUE,-,714,-,-,102,-,-,816,TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,East Darfur,SD05,SD05142,Ad Du'ayn,Al Du'ayn IDP Camps,Urban,Camp,"1,020",204,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"1,020",-,"1,020",TRUE,204,-,-,-,-,-,-,204,TRUE,Food,4-unknown
4/15/23,4/28/23,3.updated with same information,250,50,-,-,OK,Central Darfur,SD06,SD06138,Zalingi,Hai Alwadi,Urban,Neighbourhood,250,50,Central Darfur,SD06,SD06138,Zalingi,Hai El Estad,250,-,250,TRUE,-,50,-,-,-,-,-,50,TRUE,Food,3-Return to location of origin
4/15/23,4/28/23,3.updated with same information,400,80,-,-,OK,Central Darfur,SD06,SD06138,Zalingi,Hai El estad,Urban,Neighbourhood,400,80,Central Darfur,SD06,SD06138,Zalingi,Hai El Estad,400,-,400,TRUE,-,80,-,-,-,-,-,80,TRUE,Food,3-Return to location of origin
4/15/23,4/28/23,3.updated with same information,400,80,-,-,OK,Central Darfur,SD06,SD06138,Zalingi,Hai Al sawra,Urban,Neighbourhood,400,80,Central Darfur,SD06,SD06138,Zalingi,Hai El Estad,400,-,400,TRUE,-,80,-,-,-,-,-,80,TRUE,Food,3-Return to location of origin
4/15/23,4/28/23,3.updated with same information,450,90,-,-,OK,Central Darfur,SD06,SD06138,Zalingi,Al Himmediya,Urban,Neighbourhood,450,90,Central Darfur,SD06,SD06138,Zalingi,Hai El Estad,450,-,450,TRUE,-,90,-,-,-,-,-,90,TRUE,Food,3-Return to location of origin
4/15/23,4/28/23,3.updated with same information,280,56,-,-,OK,Central Darfur,SD06,SD06137,Wadi Salih,Al Amira Camp,Rural,Camp,280,56,Central Darfur,SD06,SD06137,Wadi Salih,Al Amira Camp,280,-,280,TRUE,56,-,-,-,-,-,-,56,TRUE,Food,3-Return to location of origin
4/15/23,5/18/23,3.updated with same information,49200,9840,-,-,OK,West Darfur,SD04,SD04115,Ag Geneina,Al Shati area (Ag Geneina Town),Urban,Neighbourhood,"49,200","9,840",West Darfur,SD04,SD04115,Ag Geneina,Hai EL Madaris area (Ag Geneina Town),"49,200",-,"49,200",TRUE,-,"9,840",-,-,-,-,-,"9,840",TRUE,Food,4-unknown
4/15/23,5/18/23,3.updated with same information,90075,18015,-,-,OK,West Darfur,SD04,SD04115,Ag Geneina,Al Emtidad area (Ag Geneina Town),Urban,Neighbourhood,"90,075","18,015",West Darfur,SD04,SD04115,Ag Geneina,Al Jamarik Area (Ag Geneina Town),"90,075",-,"90,075",TRUE,-,"18,015",-,-,-,-,-,"18,015",TRUE,Food,4-unknown
4/15/23,5/18/23,3.updated with same information,26575,5315,-,-,OK,West Darfur,SD04,SD04115,Ag Geneina,Al Salam A (Ag Geneina Town),Urban,Neighbourhood,"26,575","5,315",West Darfur,SD04,SD04115,Ag Geneina,Al Souk area (Ag Geneina Town),"26,575",-,"26,575",TRUE,-,"5,315",-,-,-,-,-,"5,315",TRUE,Food,4-unknown
4/15/23,5/18/23,3.updated with same information,26645,5329,-,-,OK,West Darfur,SD04,SD04115,Ag Geneina,As Salam B (Ag Geneina Town),Urban,Neighbourhood,"26,645","5,329",West Darfur,SD04,SD04115,Ag Geneina,Athora Area (Ag Geneina Town),"26,645",-,"26,645",TRUE,-,"5,329",-,-,-,-,-,"5,329",TRUE,Food,4-unknown
4/15/23,5/18/23,3.updated with same information,42220,8444,-,-,OK,West Darfur,SD04,SD04115,Ag Geneina,Hai Alriyad (Ag Geneina Town),Urban,Neighbourhood,"42,220","8,444",West Darfur,SD04,SD04115,Ag Geneina,Ministries Area (Ag Geneina Town),"42,220",-,"42,220",TRUE,-,"8,444",-,-,-,-,-,"8,444",TRUE,Food,4-unknown
4/15/23,5/18/23,3.updated with same information,13910,2782,-,-,OK,West Darfur,SD04,SD04115,Ag Geneina,Ardamata (Ag Geneina Town),Urban,Neighbourhood,"13,910","2,782",West Darfur,SD04,SD04115,Ag Geneina,Hai Al Jabal area (Ag Geneina Town),"13,910",-,"13,910",TRUE,-,2782,-,-,-,-,-,"2,782",TRUE,Food,4-unknown
4/15/23,5/22/23,2. updated with new information,77,15,183,37,OK,North Kordofan,SD13,SD13029,Gharb Bara,Alsata,Rural,Village,260,52,Khartoum,SD01,SD01006,Um Durman,,260,-,260,TRUE,-,52,-,-,-,-,-,52,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,2. updated with new information,278,52,72,18,OK,North Kordofan,SD13,SD13029,Gharb Bara,Haj Alin,Rural,Village,350,70,North Kordofan,SD13,SD13024,Sheikan,El Obeid,350,-,350,TRUE,-,70,-,-,-,-,-,70,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,2. updated with new information,467,82,73,11,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Salhin,Urban,Neighbourhood,540,93,Khartoum,SD01,SD01003,Bahri,,540,-,540,TRUE,-,89,4,-,-,-,-,93,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,159,28,-,-,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Albetrol,Urban,Neighbourhood,159,28,Khartoum,SD01,SD01007,Khartoum,,159,-,159,TRUE,-,28,-,-,-,-,-,28,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,2. updated with new information,133,33,106,9,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Al Galaa,Urban,Neighbourhood,239,42,Khartoum,SD01,SD01003,Bahri,,239,-,239,TRUE,-,42,-,-,-,-,-,42,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,200,37,-,-,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Abo Hraz,Urban,Neighbourhood,200,37,Khartoum,SD01,SD01006,Um Durman,,200,-,200,TRUE,-,37,-,-,-,-,-,37,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,359,63,-,-,OK,North Kordofan,SD13,SD13024,Sheikan,Kazgil,Rural,Village,359,63,Khartoum,SD01,SD01003,Bahri,,359,-,359,TRUE,-,63,-,-,-,-,-,63,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,140,27,-,-,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Algoba,Urban,Neighbourhood,140,27,Khartoum,SD01,SD01003,Bahri,,140,-,140,TRUE,-,27,-,-,-,-,-,27,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,290,51,-,-,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Alradif,Urban,Neighbourhood,290,51,Khartoum,SD01,SD01006,Um Durman,,290,-,290,TRUE,-,51,-,-,-,-,-,51,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,299,70,-,-,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Krima,Urban,Neighbourhood,299,70,Khartoum,SD01,SD01006,Um Durman,,299,-,299,TRUE,-,70,-,-,-,-,-,70,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,348,61,-,-,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Taiba,Urban,Neighbourhood,348,61,Khartoum,SD01,SD01003,Bahri,,348,-,348,TRUE,-,61,-,-,-,-,-,61,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,2. updated with new information,165,29,85,7,OK,North Kordofan,SD13,SD13024,Sheikan,Khor Tagat,Rural,Village,250,36,Khartoum,SD01,SD01001,Jebel Awlia,,250,-,250,TRUE,-,29,7,-,-,-,-,36,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,2. updated with new information,730,128,-421,-74,comment,North Kordofan,SD13,SD13024,Sheikan,Hi Alnazir,Urban,Neighbourhood,309,54,Khartoum,SD01,SD01003,Bahri,,309,-,309,TRUE,-,47,-,-,7,-,-,54,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/22/23,2. updated with new information,188,33,11,2,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Flastin,Urban,Neighbourhood,199,35,Khartoum,SD01,SD01007,Khartoum,,199,-,199,TRUE,-,33,2,-,-,-,-,35,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,86,15,-,-,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Alglaa,Urban,Neighbourhood,86,15,Khartoum,SD01,SD01007,Khartoum,,86,-,86,TRUE,-,15,-,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,97,17,-,-,OK,North Kordofan,SD13,SD13024,Sheikan,Hi Alestiglal,Urban,Neighbourhood,97,17,Khartoum,SD01,SD01007,Khartoum,,97,-,97,TRUE,-,17,-,-,-,-,-,17,TRUE,Food,3-Return to location of origin
4/15/23,5/22/23,3.updated with same information,175,35,-,-,OK,North Kordofan,SD13,SD13030,Ar Rahad,Tandalti,Rural,Village,175,35,Khartoum,SD01,SD01007,Khartoum,,175,-,175,TRUE,-,35,-,-,-,-,-,35,TRUE,Food,3-Return to location of origin
