param_algorithm,param_n_neighbors,param_p,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
brute,9,1,"{'algorithm': 'brute', 'n_neighbors': 9, 'p': 1}",0.530373831775701,0.5296703296703297,0.5668449197860963,0.5099337748344371,0.5327102803738317,0.5339066272880792,0.01839286206671861,173,0.8254545454545454,0.8795620437956204,0.38686131386861317,0.28,0.8290909090909091,0.6401937624419377,0.2534631096846318,1,0.5472727272727272,0.5500910746812386,0.546448087431694,0.5045537340619308,0.5500910746812386,0.5396913396257659,0.017630039040082264,69,0.6458036984352774,0.6611796982167353,0.4598698481561822,0.36150234741784043,0.6486486486486487,0.5554008481749368,0.1222945569557182,9,anger
brute,9,2,"{'algorithm': 'brute', 'n_neighbors': 9, 'p': 2}",0.5406091370558376,0.5409836065573771,0.5684210526315789,0.6190476190476191,0.5322195704057279,0.5602561971396282,0.03183265088386776,141,0.7745454545454545,0.843065693430657,0.39416058394160586,0.33090909090909093,0.8109090909090909,0.6307179827471799,0.22094863742139575,5,0.5581818181818182,0.5646630236794171,0.5482695810564663,0.5628415300546448,0.5482695810564663,0.5564451068057625,0.007002042517432628,13,0.6367713004484304,0.6590584878744651,0.4655172413793104,0.4312796208530806,0.6426512968299711,0.5670555894770515,0.097759576953006,1,anger
brute,10,1,"{'algorithm': 'brute', 'n_neighbors': 10, 'p': 1}",0.5867158671586716,0.5748031496062992,0.640625,0.5,0.556786703601108,0.5717861440732157,0.04549510025152247,117,0.5781818181818181,0.5328467153284672,0.14963503649635038,0.09090909090909091,0.730909090909091,0.4164963503649635,0.2512994204953257,53,0.5854545454545454,0.5701275045537341,0.5336976320582878,0.4990892531876138,0.5737704918032787,0.552427885411492,0.03179740780995813,21,0.5824175824175823,0.5530303030303031,0.242603550295858,0.15384615384615385,0.6320754716981133,0.43279461225760213,0.19521342063223582,57,anger
brute,10,2,"{'algorithm': 'brute', 'n_neighbors': 10, 'p': 2}",0.610655737704918,0.5670498084291188,0.5970149253731343,0.6440677966101694,0.5589887640449438,0.5955554064324569,0.03076780997684127,97,0.5418181818181819,0.5401459854014599,0.145985401459854,0.13818181818181818,0.7236363636363636,0.4179535500995355,0.23492735753093427,49,0.5981818181818181,0.5646630236794171,0.5245901639344263,0.5300546448087432,0.575591985428051,0.5586163272064911,0.027798248415382695,9,0.5741811175337186,0.5532710280373833,0.23460410557184747,0.2275449101796407,0.6307448494453249,0.4440692021535829,0.17576139638319163,49,anger
brute,11,1,"{'algorithm': 'brute', 'n_neighbors': 11, 'p': 1}",0.553763440860215,0.551622418879056,0.5847457627118644,0.5686274509803921,0.5248380129589633,0.5567194172780981,0.0198917994945195,153,0.7490909090909091,0.6824817518248175,0.2518248175182482,0.2109090909090909,0.8836363636363637,0.555588586595886,0.27285041702923585,25,0.5727272727272728,0.5646630236794171,0.5373406193078324,0.5245901639344263,0.5409836065573771,0.5480609372412651,0.017888255399742883,33,0.6367851622874807,0.6101141924959217,0.3520408163265306,0.30769230769230765,0.6585365853658537,0.5130338128336189,0.15099267007350153,29,anger
brute,11,2,"{'algorithm': 'brute', 'n_neighbors': 11, 'p': 2}",0.5755813953488372,0.5568862275449101,0.5967741935483871,0.5869565217391305,0.528604118993135,0.5689604914348799,0.024148375290067588,125,0.72,0.6788321167883211,0.27007299270072993,0.29454545454545455,0.84,0.5606901128069011,0.23351337262176325,21,0.5945454545454546,0.5701275045537341,0.5446265938069217,0.5428051001821493,0.5446265938069217,0.5593462493790362,0.02030844969251272,1,0.6397415185783523,0.611842105263158,0.37185929648241206,0.3922518159806296,0.648876404494382,0.5329142281597867,0.12394636849874716,21,anger
brute,12,1,"{'algorithm': 'brute', 'n_neighbors': 12, 'p': 1}",0.6272727272727273,0.558252427184466,0.6086956521739131,0.5454545454545454,0.5572289156626506,0.5793808535496605,0.03237623239622152,105,0.5018181818181818,0.4197080291970803,0.10218978102189781,0.08727272727272728,0.6727272727272727,0.35674319840743196,0.22902796033147513,69,0.6018181818181818,0.5446265938069217,0.5191256830601093,0.5063752276867031,0.5683060109289617,0.5480503394601755,0.0343116476490952,37,0.5575757575757576,0.47916666666666663,0.175,0.15047021943573669,0.6095551894563427,0.39435356662690074,0.1937738673062154,81,anger
brute,12,2,"{'algorithm': 'brute', 'n_neighbors': 12, 'p': 2}",0.6124401913875598,0.5706521739130435,0.660377358490566,0.5344827586206896,0.5506329113924051,0.5857170787608528,0.045543578770259635,101,0.46545454545454545,0.38321167883211676,0.12773722627737227,0.11272727272727273,0.6327272727272727,0.344371599203716,0.19995408054523967,81,0.5854545454545454,0.5482695810564663,0.5318761384335154,0.5063752276867031,0.5573770491803278,0.5458705083623115,0.02630882593069082,53,0.5289256198347108,0.4585152838427948,0.2140672782874618,0.1861861861861862,0.5888324873096447,0.39530537109215963,0.16485186588852616,77,anger
brute,13,1,"{'algorithm': 'brute', 'n_neighbors': 13, 'p': 1}",0.56957928802589,0.5471698113207547,0.6447368421052632,0.58,0.5382716049382716,0.575951509278036,0.03751420749881972,109,0.64,0.5291970802919708,0.17883211678832117,0.2109090909090909,0.7927272727272727,0.4703331121433312,0.2401930338066035,33,0.5781818181818181,0.546448087431694,0.5409836065573771,0.5282331511839709,0.5555555555555556,0.5498804437820832,0.016689606023526374,25,0.6027397260273972,0.5380333951762523,0.28,0.3093333333333333,0.6411764705882353,0.47425658502504364,0.150580840086302,33,anger
brute,13,2,"{'algorithm': 'brute', 'n_neighbors': 13, 'p': 2}",0.5758620689655173,0.5632183908045977,0.618421052631579,0.5495495495495496,0.5322997416020672,0.5678701607106621,0.029126626113200903,129,0.6072727272727273,0.5364963503649635,0.17153284671532848,0.22181818181818183,0.7490909090909091,0.4572422030524221,0.2240626480933639,37,0.58,0.5610200364298725,0.5336976320582878,0.5191256830601093,0.5446265938069217,0.5476939890710384,0.0211788428013471,41,0.5911504424778761,0.5495327102803738,0.26857142857142857,0.3160621761658031,0.6223564954682779,0.4695346505927519,0.1472987601256111,37,anger
