,emoji flag,threshold,coverage,top emotion flag,Baseline Prevalence,0-baseline Accuracy,Random baseline Accuracy,Accuracy,Precision,Recall,F1
sadness,0,0.1111111111111111,0.3158682634730539,1,0.37388724035607657,62.611275964391695,49.30381191508788,65.41885414288976,59.24812030075188,24.053724053724054,34.21623968736431
disgust,0,0.1111111111111111,0.2120689655172414,1,0.19516092216388686,80.48390778361104,51.40378908924903,77.9730655101575,22.77227722772277,5.380116959064328,8.703878902554399
joy,0,0.1111111111111111,0.39349701393497016,1,0.26866012325952554,73.13398767404702,49.53207030358366,71.85574069847067,47.48201438848921,44.85981308411215,46.133682830930546
anger-disgust,0,0.1111111111111111,0.19287833827893175,1,0.4147454918968198,58.52545081031728,50.1027162748231,61.8808491212052,58.69822485207101,27.297743533296643,37.265214124718256
anger,0,0.2222222222222222,0.22136786726021854,1,0.3932892033782172,60.67107966217758,51.632047477744806,62.56562428669253,61.82336182336182,12.594312246082414,20.925747348119575
fear,0,0.2222222222222222,0.3553691275167785,1,0.17804154302670394,82.19584569732937,50.78749144031043,74.1839762611276,31.34962805526036,37.82051282051282,34.282393957001744
sadness,0,0.2222222222222222,0.27956586826347307,1,0.37388724035607657,62.611275964391695,49.0755535265921,65.44167998173933,59.39393939393939,23.931623931623932,34.11662315056571
disgust,0,0.2222222222222222,0.17025862068965517,1,0.19516092216388686,80.48390778361104,49.53207030358366,78.04154302670624,23.115577889447238,5.380116959064328,8.72865275142315
joy,0,0.2222222222222222,0.3722627737226277,1,0.26866012325952554,73.13398767404702,49.21250855968957,71.87856653732025,47.51580849141825,44.689889549702634,46.05954465849387
anger-disgust,0,0.2222222222222222,0.19173704633645286,1,0.4147454918968198,58.52545081031728,49.463592787034926,61.90367496005478,58.80952380952381,27.187671986791415,37.184794881445235
anger,0,0.3333333333333333,0.1622824767300688,1,0.3932892033782172,60.67107966217758,49.87445788632732,62.42866925359507,62.622950819672134,11.085316308763785,18.83629191321499
fear,0,0.3333333333333333,0.2929530201342282,1,0.17804154302670394,82.19584569732937,50.422278018717186,74.8915772654645,30.997624703087887,33.46153846153846,32.182490752157825
sadness,0,0.3333333333333333,0.22679640718562874,1,0.37388724035607657,62.611275964391695,49.0755535265921,65.07646656014609,59.183673469387756,21.245421245421245,31.266846361185987
disgust,0,0.3333333333333333,0.11594827586206896,1,0.19516092216388686,80.48390778361104,49.60054782013239,78.36110477060032,23.121387283236995,4.678362573099415,7.782101167315174
joy,0,0.3333333333333333,0.3487060384870604,1,0.26866012325952554,73.13398767404702,49.44076694818535,72.19812828121434,48.038277511961724,42.650807136788444,45.184518451845186
anger-disgust,0,0.3333333333333333,0.1753024423647569,1,0.4147454918968198,58.52545081031728,49.96576124172563,61.994978315453096,59.895833333333336,25.31645569620253,35.58994197292069
anger,0,0.4444444444444444,0.09550789154188588,1,0.3932892033782172,60.67107966217758,49.66902533668112,62.13193334855056,66.16161616161617,7.603017991874637,13.638729828214473
fear,0,0.4444444444444444,0.18355704697986577,1,0.17804154302670394,82.19584569732937,48.57338507190139,77.33394202236933,30.53016453382084,21.41025641025641,25.169555388093443
sadness,0,0.4444444444444444,0.13959580838323354,1,0.37388724035607657,62.611275964391695,50.65053640721297,64.91668568819904,63.53887399463807,14.468864468864469,23.570363003480857
disgust,0,0.4444444444444444,0.06465517241379311,1,0.19516092216388686,80.48390778361104,49.37228943163661,78.97740241953892,20.535714285714285,2.690058479532164,4.756980351602896
joy,0,0.4444444444444444,0.29362972793629727,1,0.26866012325952554,73.13398767404702,49.98858708057521,73.29376854599407,50.3954802259887,37.892948173322004,43.25897187196896
anger-disgust,0,0.4444444444444444,0.11549874457886328,1,0.4147454918968198,58.52545081031728,50.65053640721297,62.086281670851406,65.41501976284584,18.2168409466153,28.49763237193285
anger,0,0.5555555555555556,0.039660056657223795,1,0.3932892033782172,60.67107966217758,49.80598036977859,61.401506505364075,66.3265306122449,3.772489843296576,7.138934651290499
fear,0,0.5555555555555556,0.04194630872483222,1,0.17804154302670394,82.19584569732937,51.15270486190367,82.62953663547135,57.6,9.23076923076923,15.911602209944748
sadness,0,0.5555555555555556,0.07148203592814371,1,0.37388724035607657,62.611275964391695,49.76032869207943,64.1406071673134,67.53926701570681,7.875457875457876,14.10606889010388
