model,sample_size,resample,epochs,lr,batch_size,threshold,anger_accuracy,anger_macro_f1,fear_accuracy,fear_macro_f1,sadness_accuracy,sadness_macro_f1,disgust_accuracy,disgust_macro_f1,joy_accuracy,joy_macro_f1,anger-disgust_accuracy,anger-disgust_macro_f1
bert2,1,0,14,1e-05,32,0.5,0.3774230330672748,0.2740066225165563,0.1927023945267958,0.1615678776290631,0.3671607753705815,0.268557130942452,0.814139110604333,0.4487743557510999,0.2633979475484607,0.2084837545126354,0.5929304446978335,0.3722261989978525
bert2,1,0,16,1e-05,32,0.5,0.3751425313568985,0.2728026533996683,0.1710376282782212,0.1460564751703992,0.61345496009122,0.3802120141342756,0.8187001140250855,0.4501567398119122,0.2884834663625997,0.2238938053097345,0.6054732041049031,0.3771306818181818
bert2,1,0,12,5e-05,32,0.5,0.387685290763968,0.2793755135579293,0.798175598631699,0.4438807863031072,0.3603192702394527,0.2648784576697401,0.7867730900798175,0.4403318442884492,0.7194982896237172,0.4184350132625994,0.5883694412770809,0.3704235463029433
bert2,1,0,14,5e-05,32,0.5,0.6305587229190421,0.3867132867132867,0.8152793614595211,0.4491206030150754,0.3774230330672748,0.2740066225165563,0.8050171037628279,0.4459886291850916,0.2690992018244014,0.2120395327942497,0.6077537058152793,0.3780141843971631
bert2,1,0,16,5e-05,32,0.5,0.3694412770809578,0.26977518734388,0.1676168757126568,0.1435546875,0.3751425313568985,0.2728026533996683,0.806157354618016,0.4463383838383838,0.7103762827822121,0.4153333333333334,0.3922462941847206,0.2817362817362817
bert2,1,0,12,0.0001,32,0.5,0.6157354618015963,0.3810868031051517,0.1721778791334093,0.1468871595330739,0.6339794754846066,0.3879972086531751,0.2052451539338654,0.1702932828760643,0.2873432155074116,0.2232063773250664,0.4059293044469783,0.2887266828872668
bert2,1,0,14,0.0001,32,0.5,0.3819840364880273,0.2764026402640264,0.82212086659065,0.451188986232791,0.3717217787913341,0.2709891936824605,0.1927023945267958,0.1615678776290631,0.7137970353477765,0.4165003326679973,0.5917901938426454,0.3717765042979942
bert2,1,0,16,0.0001,32,0.5,0.6088939566704675,0.3784549964564139,0.169897377423033,0.145224171539961,0.6077537058152793,0.3780141843971631,0.798175598631699,0.4438807863031072,0.2611174458380844,0.2070524412296564,0.4093500570125427,0.2904530744336569
bert2,1,0,13,5e-05,8,0.5,0.6225769669327252,0.3836964160224877,0.8038768529076397,0.445638432364096,0.3774230330672748,0.2740066225165563,0.1755986316989737,0.1493695441319107,0.282782212086659,0.2204444444444444,0.6100342075256556,0.3788951841359773
bert2,1,0,15,5e-05,8,0.5,0.61345496009122,0.3802120141342756,0.1847206385404789,0.1559191530317613,0.6431014823261118,0.3913948646773074,0.1949828962371722,0.1631679389312977,0.7331812998859749,0.4230263157894737,0.4070695553021665,0.2893030794165316
bert2,1,0,12,6.000000000000001e-05,8,0.5,0.3854047890535917,0.2781893004115226,0.7947548460661346,0.4428208386277001,0.6202964652223489,0.3828289936664321,0.806157354618016,0.4463383838383838,0.2576966932725199,0.2048957388939256,0.4093500570125427,0.2904530744336569
bert2,1,0,13,6.000000000000001e-05,8,0.5,0.3968072976054732,0.2840816326530612,0.17787913340935,0.1510164569215876,0.6191562143671607,0.3823943661971831,0.1790193842645382,0.1518375241779497,0.2679589509692132,0.2113309352517985,0.5883694412770809,0.3704235463029433
bert2,1,0,14,6.000000000000001e-05,8,0.5,0.3899657924743444,0.2805578342904019,0.17787913340935,0.1510164569215876,0.3865450399087799,0.2787828947368421,0.2155074116305587,0.1772983114446529,0.7491448118586089,0.4282920469361147,0.5872291904218928,0.3699712643678161
bert2,1,0,15,6.000000000000001e-05,8,0.5,0.3717217787913341,0.2709891936824605,0.169897377423033,0.145224171539961,0.3546180159635119,0.2617845117845118,0.8072976054732041,0.4466876971608832,0.2998859749144812,0.2307017543859649,0.6111744583808438,0.3793347487615003
bert2,1,0,16,6.000000000000001e-05,8,0.5,0.6282782212086659,0.3858543417366947,0.8403648802736602,0.456629491945477,0.3717217787913341,0.2709891936824605,0.1801596351197263,0.1526570048309178,0.7137970353477765,0.4165003326679973,0.3922462941847206,0.2817362817362817
bert2,1,0,12,5e-05,12,0.5,0.6031927023945268,0.3762446657183499,0.8278221208665907,0.4529008109794136,0.6476624857468644,0.3930795847750865,0.7993158494868872,0.4442332065906211,0.7149372862029647,0.4168882978723404,0.5860889395667047,0.3695183321351546
bert2,1,0,13,5e-05,12,0.5,0.6339794754846066,0.3879972086531751,0.1755986316989737,0.1493695441319107,0.403648802736602,0.2875710804224208,0.8152793614595211,0.4491206030150754,0.2690992018244014,0.2120395327942497,0.387685290763968,0.2793755135579293
bert2,1,0,14,5e-05,12,0.5,0.3762827822120866,0.2734051367025683,0.1812998859749144,0.1534749034749034,0.621436716077537,0.3832630098452883,0.185860889395667,0.1567307692307692,0.2679589509692132,0.2113309352517985,0.3968072976054732,0.2840816326530612
bert2,1,0,15,5e-05,12,0.5,0.6157354618015963,0.3810868031051517,0.8266818700114025,0.4525593008739076,0.3740022805017103,0.2721991701244813,0.790193842645382,0.4414012738853503,0.2656784492588369,0.2099099099099099,0.4161915621436716,0.2938808373590982
bert2,1,0,16,5e-05,12,0.5,0.5906499429874572,0.3713261648745519,0.1847206385404789,0.1559191530317613,0.3911060433295324,0.2811475409836065,0.1961231470923603,0.1639656816015252,0.7457240592930444,0.4271717831482691,0.5610034207525656,0.3593864134404675
bert2,1,0,12,6.000000000000001e-05,12,0.5,0.5997719498289624,0.3749109052031361,0.8187001140250855,0.4501567398119122,0.3671607753705815,0.268557130942452,0.8015963511972634,0.4449367088607595,0.2485746864310148,0.1990867579908675,0.5769669327251995,0.3658712942877802
bert2,1,0,13,6.000000000000001e-05,12,0.5,0.5781071835803877,0.3663294797687861,0.8403648802736602,0.456629491945477,0.3762827822120866,0.2734051367025683,0.1904218928164196,0.1599616858237547,0.2759407069555302,0.2162645218945487,0.4389965792474344,0.3050713153724247
bert2,1,0,14,6.000000000000001e-05,12,0.5,0.3956670467502851,0.2834967320261438,0.1824401368301026,0.1542912246865959,0.637400228050171,0.389275766016713,0.8084378563283923,0.4470365699873896,0.7445838084378563,0.426797385620915,0.5883694412770809,0.3704235463029433
bert2,1,0,15,6.000000000000001e-05,12,0.5,0.3922462941847206,0.2817362817362817,0.1755986316989737,0.1493695441319107,0.346636259977195,0.2574089754445385,0.806157354618016,0.4463383838383838,0.2554161915621437,0.2034514078110808,0.5895096921322691,0.3708751793400287
bert2,1,0,16,6.000000000000001e-05,12,0.5,0.387685290763968,0.2793755135579293,0.17787913340935,0.1510164569215876,0.6396807297605474,0.390125173852573,0.1892816419612314,0.159156279961649,0.2873432155074116,0.2232063773250664,0.403648802736602,0.2875710804224208
bert2,1,0,13,5e-05,16,0.5,0.3819840364880273,0.2764026402640264,0.1653363740022805,0.1418786692759295,0.3648802736602052,0.2673350041771094,0.1812998859749144,0.1534749034749034,0.7092360319270239,0.4149432955303535,0.5963511972633979,0.3735714285714285
bert2,1,0,15,5e-05,16,0.5,0.6009122006841505,0.3753561253561253,0.8164196123147093,0.4494664155681104,0.629418472063854,0.3862841147655703,0.1972633979475484,0.1647619047619047,0.7206385404789054,0.4188204108681246,0.580387685290764,0.3672438672438672
